Ticker,Company Name,P/E (F2),PEG Ratio,Div. Yield %,Net Margin,Debt/Total Capital,Last Qtr EPS,Last Reported Qtr ,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q2 Est. (4 weeks),Q0 Consensus Est. (last completed fiscal Qtr),# of Analysts in Q0 Consensus,Q1 Consensus Est.,# of Analysts in Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),P/E (F1),P/E (Trailing 12 Months),F2 Consensus Est.,Exchange,Sector,Month of Fiscal Yr End,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,% Change F1 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),F0 Consensus Est.,F1 Consensus Est.,# of Analysts in Q2 Consensus,Market Cap 
SSYS,"Stratasys, Ltd.",36.65,1.76,0,-0.06,2.47749,0.16,20171201,-0.36,-38.62,-25,0.16,7,0.08,7,0.12,53.25,48.11,0.6,NSDQ,Computer and Technology,12,Computer - Peripheral Equipment,0,100,66.96,20180515,-32.37,-21.85,2.82,0.46,0.42,6,1187.14
ST,Sensata Technologies Holding N.V.,13.2,1.44,0,0.12,58.115,0.87,20171201,0,0.17,0,0.85,8,0.84,8,0.93,14.46,16.52,4.01,NYSE,Computer and Technology,12,Instruments - Control,2.35,1.25,2.96,20180424,0.21,0.31,0,3.17,3.66,6,9062.54
STAG,"Stag Industrial, Inc.",12.37,2.8,5.99,0.1,35.47999,0.44,20171201,-0.19,0.77,1.33,0.43,7,0.44,6,0.46,12.99,14.02,1.92,NYSE,Finance,12,REIT and Equity Trust - Other,2.33,2.38,1.8,20180501,0.52,-1.17,-11.01,1.68,1.82,5,2304.46
STAY,"Extended Stay America, Inc.",17.79,3.58,4.16,0.06,48.68299,0.19,20171201,0,-4,-10,0.17,6,0.16,6,0.34,18.33,20.19,1.13,NYSE,Consumer Discretionary,12,Hotels and Motels,11.76,-7.89,6.44,,-1.34,-0.96,95.42,0.98,1.1,5,3858.51
STBA,"S&T Bancorp, Inc.",14.06,,2.08,0.23,9.51119,0.65,20171201,0,0,0,0.63,2,0.7,3,0.71,14.76,17.09,3,NSDQ,Finance,12,Banks - Northeast,3.17,8.33,6.95,20180419,0,0,,2.37,2.86,3,1476.41
STBZ,State Bank Financial Corporation.,12.94,1.15,2.61,0.19,0,0.41,20171201,2.63,0,0,0.39,2,0.47,2,0.52,14.01,20.26,2.37,NSDQ,Finance,12,Banks - Southeast,7.89,2.78,7.17,20180426,1.16,-1.46,0,1.51,2.18,2,1193.78
STDAF,STADA ARZNEIMI,,,0,,,0.95,20171201,,,,,,,,,,31.52,,OTC,Medical,12,Medical - Drugs,,,,20180510,,,,,,,6642.54
STE,STERIS plc,20.2,,1.3,0.04,31.29299,1.12,20171201,0.47,0,0,1.08,3,1.22,3,1,23.01,23.65,4.71,NYSE,Medical,3,Medical - Instruments,4.67,-1.05,3.4,20180508,0.3,0.7,,3.73,4.13,2,8067.35
STFC,State Auto Financial Corporation,15.52,,1.36,-0.01,12.173,0.4,20171201,0,29.17,-81.82,0.47,1,0.31,1,0.02,20.34,,1.9,NSDQ,Finance,12,Insurance - Property and Casualty,-14.89,-17.39,-6.63,20180501,-14.71,,,-0.32,1.45,1,1258.3
STI,"SunTrust Banks, Inc.",12.91,1.13,2.25,0.23,28.006,1.09,20171201,0.43,-0.54,0.4,1.05,13,1.1,10,1.26,14.13,17.56,5.51,NYSE,Finance,12,Banks - Major Regional,3.81,0,3.12,20180420,0.17,0.32,0,4.05,5.03,10,33310.19
STL,Sterling Bancorp,11.71,,1.12,0.12,54.66999,0.39,20171201,1.74,0,0.71,0.39,3,0.45,3,0.47,13.04,18.04,2.13,NYSE,Finance,12,Banks - Northeast,2.63,-2.78,-0.04,20180424,1.87,1.39,,1.36,1.91,3,5597.09
STLD,"Steel Dynamics, Inc.",11.15,0.95,1.34,0.09,43.54499,0.54,20171201,0,-1.29,0,0.49,7,0.98,7,1.13,11.35,17.52,4.16,NSDQ,Basic Materials,12,Steel - Producers,10.2,0,6.49,20180418,5.96,0.81,0,2.61,4.09,4,10960.79
STM,STMicroelectronics N.V.,14.63,3.64,0.84,0.1,22.454,0.41,20171201,,-8.47,9.8,0.35,2,0.27,1,0.28,18.22,24.85,1.66,NYSE,Computer and Technology,12,Semiconductor - General,17.14,16.67,3.49,20180426,1.65,0,0,0.95,1.34,1,21831.97
STMP,Stamps.com Inc.,18.52,1.43,0,0.32,10.859,4.68,20171201,-5.4,9.87,8.93,2.6,4,1.97,3,2.24,21.52,17.56,10.68,NSDQ,Retail-Wholesale,12,Internet - Commerce,70.18,40.31,42.53,20180502,12.76,30.56,0,9.45,9.19,3,3474.75
STN,Stantec Inc.,13.81,,1.57,0.02,22.18199,0.25,20171201,-7.59,-28.4,-14.65,0.36,4,0.35,4,0.42,16.35,18.68,1.84,NYSE,Business Services,12,Consulting Services,-30.56,-2.27,-7.63,20180510,-11.06,-0.02,,1.51,1.55,4,2899.98
STO,Statoil ASA,15.98,,2.35,0.08,37.74599,0.39,20171201,0,,,0.34,1,,,,15.48,16.55,1.44,NYSE,Oils-Energy,12,Oil and Gas - Integrated - International,14.71,13.64,23.17,20180503,0,0,,1.25,1.49,,76466.07
STOR,STORE Capital Corporation,13.32,2.82,5.06,0.36,38.98799,0.43,20171201,0.54,1.02,0.78,0.41,9,0.42,7,0.43,14.07,14.41,1.84,NYSE,Finance,12,REIT and Equity Trust - Retail,4.88,5.13,4.3,20180503,0.52,0.47,0,1.6,1.74,6,4758.02
STRA,"Strayer Education, Inc.",21.54,,0.99,0.05,0,1.09,20171201,0.78,-9.32,1.18,1.29,2,1.07,1,0.86,25.12,30.68,4.7,NSDQ,Consumer Discretionary,12,Schools,-15.5,-8.11,-5.06,20180502,1.9,8.55,,3.35,4.03,1,1129.85
STT,State Street Corporation,12.49,1.38,1.59,0.18,34.24,1.83,20171201,0,1.29,1.72,1.71,8,1.57,8,2.03,13.78,16.5,8.48,NYSE,Finance,12,Banks - Major Regional,7.02,6.21,7.4,20180425,0.88,1.45,25,6.27,7.68,7,38934.47
