Ticker,Company Name,P/E (F2),PEG Ratio,Div. Yield %,Net Margin,Debt/Total Capital,Last Qtr EPS,Last Reported Qtr ,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q2 Est. (4 weeks),Q0 Consensus Est. (last completed fiscal Qtr),# of Analysts in Q0 Consensus,Q1 Consensus Est.,# of Analysts in Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),P/E (F1),P/E (Trailing 12 Months),F2 Consensus Est.,Exchange,Sector,Month of Fiscal Yr End,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,% Change F1 Est. (4 weeks),% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),F0 Consensus Est.,F1 Consensus Est.,# of Analysts in Q2 Consensus,Market Cap 
DLB,Dolby Laboratories,24.52,5.57,0.94,0.19,0,0.79,20171201,-1.21,0.62,0.61,0.44,5,0.65,5,0.82,66.89,24.81,2.76,NYSE,Consumer Discretionary,9,Audio Video Production,79.55,73.08,54.75,20180425,2.27,0.95,0,2,1.01,4,7011.68
DLGNF,DIALOG SEMICON,8.58,,0,0.13,0,1.34,20171201,6.9,-34.52,,1.24,1,0.55,1,,10.94,10.65,3.65,OTC,Computer and Technology,12,Electronics - Semiconductors,8.06,,,20180508,-26.29,-25.66,,2.83,2.86,,2444
DLPH,Delphi Technologies PLC,9.35,1,0.36,0.06,86.72,1.24,20171201,1.2,-3.38,1.78,1.11,7,1.14,6,1.27,9.96,,5.09,NYSE,Business Services,12,Technology Services,11.71,,,20180516,2.66,-0.24,2.56,5.2,4.78,5,4216.22
DLR,"Digital Realty Trust, Inc.",14.89,2.37,3.84,0.1,44.05899,1.55,20171201,-0.03,-0.56,-0.41,1.52,11,1.57,11,1.61,16.11,17.27,7.08,NYSE,Finance,12,REIT and Equity Trust - Other,1.97,1.34,2.18,20180426,-0.04,-0.16,-9.81,6.1,6.54,9,21642.19
DLTR,"Dollar Tree, Inc.",14.66,1.21,0,0.08,39.86899,1.89,20180101,0.57,-5.15,-3.2,1.9,12,1.25,10,1.18,16.61,19.33,6.42,NSDQ,Retail-Wholesale,1,Retail - Discount Stores,-0.53,12.22,6.12,20180524,-2.22,1.55,10.05,4.88,5.67,10,22325.01
DLX,Deluxe Corporation,,,1.63,0.12,39.59199,1.4,20171201,,0,,1.42,1,1.3,1,,12.95,13.98,,NYSE,Business Services,12,Business - Office Products,-1.41,4.76,3.37,20180426,0,,,,5.68,,3522.86
DM,"Dominion Midstream Partners, LP",15.03,1.21,5.29,0.41,9.5225,0.33,20171201,0,6.73,0.83,0.38,3,0.28,4,0.3,16.88,17.95,1.6,NYSE,Oils-Energy,12,Alternative Energy - Other,-13.16,13.79,-2.7,20180503,-8.21,-10.49,0,1.44,1.42,4,2403.34
DNACF,DENA CO LTD TOK,16.56,1.4,0,,,0.33,20170601,,,,,,,,,18.15,9.58,1.14,OTC,Computer and Technology,3,Internet - Services,,,,20180322,0,0,0,0.62,1.04,,2847.29
DNB,Dun & Bradstreet Corporation (The),14.95,3.47,1.65,0.08,,3.22,20171201,0.13,3.59,3.65,3.04,5,1.04,6,1.51,15.61,17.22,8.48,NYSE,Business Services,12,Business - Information Services,6.27,13.29,11.75,20180507,5.55,5.17,-10,7.18,8.12,6,4689.63
DNFGY,Dongfeng Motor Group Co.,,,3.38,,,,,,,,,,,,,,,,OTC,Auto-Tires-Trucks,12,Automotive - Foreign,,,,20180327,,,0,12.39,,,3531.42
DNHBY,DNB ASA,,,2.75,0.3,79.18699,0.46,20171201,,,,,,,,,13.73,13.11,,OTC,Finance,12,Banks - Foreign,,,,20180426,0,,,1.27,1.48,,33097.2
DNKEY,DANSKE BANK AS,,,2.14,0.42,89.72399,0.48,20171201,,,,,,,,,11.58,12.13,,OTC,Finance,12,Banks - Foreign,,,,20180427,0,,,1.65,1.76,,37622.05
DNKN,"Dunkin' Brands Group, Inc.",19.79,1.67,2.35,0.41,99.72399,0.64,20171201,0.29,3.16,3.22,0.63,10,0.52,10,0.72,22.29,24.39,2.99,NSDQ,Retail-Wholesale,12,Retail - Restaurants,1.59,-3.17,3.54,20180503,0.9,1.88,0,2.42,2.66,8,4874.61
DNLI,Denali Therapeutics Inc.,,,0,,,,,0,0,0,-0.3,1,-0.27,1,-0.16,,,-1.51,NSDQ,Medical,12,Medical - Biomedical and Genetics,,,,,0,0,,-1.47,-0.87,1,1722.63
DNLMY,DUNELM GP PLC,11.77,,3.75,0.08,55.88999,,,,,,,,,,,12.8,,0.68,OTC,Consumer Discretionary,6,Textile - Home Furnishing,,,,,0,-2.16,,0.56,0.63,,1615.35
DNOW,NOW Inc.,25.18,,0,-0.02,12.027,0.01,20171201,-4.62,36.25,71.43,-0.07,8,-0.02,8,0,138.14,,0.4,NYSE,Oils-Energy,12,Oil and Gas - Mechanical and and Equitment,114.29,25,43.52,20180502,-35.92,-3.91,,-0.34,0.07,7,1094.35
DNP,DNP Select Income Fund Inc,,,7.59,,,,,,,,,,,,,,,,NYSE,Finance,12,Financial - Investment Funds,,,,,,,,,,,2962.36
DNPLY,Dai Nippon Printing Co.,,,2.36,0.02,9.78969,0.28,20170901,,,,,,,,,,18.25,,OTC,Industrial Products,3,Commercial Printing,,,,20180322,,,,,,,6307.48
DNZOY,Denso Corp.,15.27,1.55,0,0.06,7.7807,0.55,20171201,0,5.26,,0.5,1,0.4,1,,15.35,15.61,1.85,OTC,Auto-Tires-Trucks,3,Automotive - Original Equipment,10,,,20180427,3.95,1.65,-4.81,1.37,1.84,,44864.87
DO,"Diamond Offshore Drilling, Inc.",,,0,0.01,34.31999,-0.05,20171201,255.56,-78.16,-96.83,0.01,12,-0.19,10,-0.03,,18.18,-0.19,NYSE,Oils-Energy,12,Oil and Gas - Drilling,31.58,87.5,208.37,20180507,-43.07,15.74,,0.87,-0.29,9,2046.07
DOC,Physicians Realty Trust,13,2.96,6.1,0.11,36.9,0.27,20171201,-0.2,-2.23,-2.03,0.27,10,0.27,8,0.28,13.39,14.36,1.16,NYSE,Finance,12,REIT and Equity Trust - Other,0,-3.7,-1.51,20180502,-1.98,-4.02,-20.11,1.05,1.13,7,2740.92
DOOR,Masonite International Corporation,13.12,,0,0.07,45.951,0.71,20171201,5.77,-6.71,-0.22,0.86,6,0.67,6,1.12,15.93,18.42,4.74,NYSE,Consumer Discretionary,12,Furniture,-15.48,8.7,-4.94,20180514,1,-0.11,,3.48,3.91,6,1750.09
DORM,"Dorman Products, Inc.",14.94,1.49,0,0.12,0,0.87,20171201,,11.96,13.52,0.86,3,1.03,3,1.06,16.4,20.56,4.61,NSDQ,Auto-Tires-Trucks,12,Automotive - Replacement Parts,1.16,-8.05,-0.12,20180501,10.92,11.62,0,3.34,4.2,3,2311.5
DOV,Dover Corporation,15.58,1.3,1.9,0.1,40.526,1.13,20171201,0.58,-0.58,0,1.04,10,1.15,9,1.54,16.93,24.6,6.36,NYSE,Industrial Products,12,Manufacturing - General Industrial ,8.65,4.5,7.25,20180419,0,0,0,4.31,5.85,8,15306.55
DOX,Amdocs Limited,15.8,2.15,1.3,0.11,0,1.06,20171201,0.24,0,0,0.98,7,0.96,7,1,16.84,17.15,4.3,NSDQ,Computer and Technology,9,Computers - IT Services,9.28,0,4.15,20180508,0,0,0,3.81,4.03,6,9739.86
DPLO,"Diplomat Pharmacy, Inc.",19.99,,0,0,41.012,0.18,20171201,-0.57,-15.27,-10,0.17,9,0.22,9,0.22,23.95,25.76,1.12,NYSE,Retail-Wholesale,12,Retail - Pharmacies and Drug Stores,5.88,66.67,41.47,20180514,-7.27,-11.81,,0.85,0.94,8,1659.89
DPS,"Dr Pepper Snapple Group, Inc",21.12,2.14,1.98,0.16,64.22399,1.17,20171201,0,-3.52,-3.56,1.17,8,1.04,5,1.48,22.99,25.89,5.55,NYSE,Consumer Staples,12,Beverages - Soft drinks,0,-4.35,-0.37,20180425,-2.08,-2.94,4.88,4.53,5.1,5,21078.59
DPSGY,Deutsche Post AG,14.32,5.68,2.48,,28.55999,0.62,20170901,0,0,0,0.89,2,0.7,1,0.65,15.66,18.35,3.16,OTC,Transportation,12,Transportation - Services,8.77,,,20180322,0,0,0,2.76,2.89,1,55685.05
DPUKY,DOMINOS PIZA UK,17.48,,2.05,,,,,,,,,,,,,19.34,,0.52,OTC,Retail-Wholesale,12,Food - Natural Foods Products,,,,20180314,-2.08,4,,0.42,0.47,,2188.53
DPZ,Domino's Pizza Inc,24.64,1.89,0.97,0.1,,1.94,20171201,0,-0.09,-0.79,1.94,8,1.76,9,1.72,28.59,39.17,9.21,NYSE,Retail-Wholesale,12,Retail - Restaurants,0,4.1,5.23,20180426,-0.49,-1.05,0,5.75,7.93,8,9757.4
DRCSY,DAIRY CREST GRP,14.67,9.57,3.01,0.09,61.721,,,,,,,,,,,22,,0.03,OTC,Consumer Staples,3,Food - Dairy Products,,,,,0,0,0,0.02,0.02,,1244.42
DRE,Duke Realty Corporation,18.96,4.66,3.09,2.09,34.62599,0.3,20171201,-0.38,1.29,0.91,0.3,8,0.29,8,0.32,20.35,20.85,1.36,NYSE,Finance,12,REIT and Equity Trust - Other,0,3.45,5.12,20180425,0.44,-0.3,0,1.24,1.27,7,9228.18
DRH,Diamondrock Hospitality Company,10.68,2.15,4.67,0.11,33.838,0.25,20171201,0.88,-10.5,2.22,0.23,11,0.16,9,0.33,10.74,10.71,1,NYSE,Finance,12,REIT and Equity Trust - Other,8.7,0,4.45,20180504,0.46,1.06,0,0.98,1,7,2147.76
DRI,"Darden Restaurants, Inc.",17.37,1.81,2.69,0.07,32.13199,0.73,20171101,0,0.32,1.17,1.64,12,1.42,11,1.19,19.67,22.18,5.39,NYSE,Retail-Wholesale,5,Retail - Restaurants,4.29,1.02,2.96,20180322,0.06,0.85,0,3.99,4.76,8,11565.23
DRQ,"Dril-Quip, Inc.",64.77,,0,-0.22,0,0.01,20171201,-28.95,,100,0.02,6,0.01,4,0.05,558.37,228,0.7,NYSE,Oils-Energy,12,Oil and Gas - Mechanical and and Equitment,-66.67,350,287.5,20180426,-49.41,-16.19,,0.21,0.08,3,1739.01
DSCSY,DISCO CORP,20.75,1.17,0.4,0.18,0,0.49,20170901,0,28.57,,0.33,1,0.63,1,,23.35,28.13,2.25,OTC,Industrial Products,3,Manufacturing - Material Handling,,,,20180319,3.63,5.14,0,1.27,2,,8385.94
DSDVY,DSV A/S UNS ADR,19.47,,0.27,0.04,33.358,0.38,20171201,0,15.15,0,0.39,1,0.38,1,0.42,22.05,28.08,2.01,OTC,Transportation,12,Transportation - Services,0,-2.5,,20180501,2.61,4.97,,1.51,1.77,1,14831.4
DSEEY,Daiwa Securities Group Inc.,,,1.18,0.17,64.96099,0.17,20171201,,,,,,,,,10.69,12.28,,OTC,Finance,3,Financial - Miscellaneous Services,,,,20180427,0,,,0.6,0.62,,11266.88
DSGX,The Descartes Systems Group Inc.,46.94,,0,0.11,6.90539,0.09,20180101,0,-4.55,-6.25,0.1,4,0.1,4,0.11,59.9,82.14,0.61,NSDQ,Computer and Technology,1,Computer - Software,-10,-20,-12.5,20180530,-3.03,3.23,,0.36,0.48,4,2207.24
DSRLF,DiaSorin S.p.A.,22.59,2.66,0,,,,,0,,,1.22,1,,,,23.96,,3.84,OTC,Medical,12,Medical - Products,,,,,0,0,0,3.53,3.62,,4853.49
DST,"DST Systems, Inc.",17.91,2.02,0.86,0.2,30.20299,1.11,20171201,3.57,0.57,2.83,0.87,3,0.88,2,0.97,20.21,20.43,4.66,NYSE,Computer and Technology,12,Computer - Software,32.14,4.11,11.97,20180426,4.61,4.61,0,3.07,4.13,2,4944.38
DSW,DSW Inc.,12.5,2.15,3.72,,12.73799,0.38,20180101,0,-0.16,-1.1,0.27,7,0.36,7,0.41,13.46,14.06,1.72,NYSE,Retail-Wholesale,1,Retail - Apparel and Shoes,40.74,-15.09,13.41,20180522,-1.24,1.27,0,1.41,1.6,7,1721.54
DTCGF,DOMETIC GP AB,12.62,1.38,0,,,0.18,20170601,,,,,,,,,13.77,,0.84,OTC,Consumer Discretionary,12,Leisure and Recreation Products,,,,20180322,4.05,3.7,0,0.52,0.77,,3135.83
DTE,DTE Energy Company,16.5,2.92,3.47,0.09,54.949,1.26,20171201,2.29,,,1.23,4,1.85,1,0.92,17.52,18.16,6.17,NYSE,Utilities,12,Utility - Electric Power,2.44,-3.27,5.32,20180425,0.35,1.51,0,5.56,5.81,1,18247.04
DTEGY,Deutsche Telekom AG,12.7,12.87,4.03,,55.84199,0.31,20170901,,,,,,,,,13.9,16.19,1.27,OTC,Utilities,12,Diversified Communication Services,,,,20180322,-4.51,-5.56,-87.2,1.01,1.16,,75742.42
DUFRY,Dufry AG,,,0,,53.52199,0.21,20170901,,,,,,,,,,81.59,,OTC,Consumer Discretionary,12,Consumer Products - Discretionary,,,,20180321,,,,,,,7472
DUK,Duke Energy Corporation,15.49,4.42,4.64,0.13,54.02,0.94,20171201,0.04,-6.56,-6.53,0.91,6,1.13,5,1.04,16.32,16.75,4.95,NYSE,Utilities,12,Utility - Electric Power,3.3,1.92,0.59,20180508,-2.51,-0.73,-7.91,4.55,4.7,4,53725.11
DVA,DaVita HealthCare Partners Inc.,13.14,1.33,0,0.06,67.54599,0.92,20171201,0.81,4.9,2.58,0.91,6,0.91,5,0.99,16.75,20.19,5.29,NYSE,Medical,12,Medical - Outpatient and Home Healthcare,1.1,-13.83,-3.54,20180501,5.35,3.47,,3.43,4.15,4,12639.9
DVAX,Dynavax Technologies Corporation,,,0,-290.98,0,-0.43,20171201,0,-17.83,-20.73,-0.35,2,-0.51,3,-0.5,,,-1.03,NSDQ,Medical,12,Medical - Biomedical and Genetics,-22.86,26.92,-0.27,20180514,-34.98,-2709.09,,-1.72,-1.91,2,1014.65
DVDCY,Campari Group,27.78,3.85,0.44,,35.31,,,,,,,,,,,28.85,,0.27,OTC,Consumer Staples,12,Beverages - Alcohol,,,,20180508,8.33,3.85,0,0.23,0.26,,8712
DVMT,Dell Technologies Inc.,12.16,1.49,0,-0.05,75.041,2.39,20180101,,,,1.64,2,1.16,1,1.35,13.49,11.15,6.39,NYSE,Computer and Technology,1,Computers - IT Services,44.85,,,20180614,6.57,8.22,-0.55,5.16,5.76,1,59719.82
DVN,Devon Energy Corporation,11.64,2.41,0.76,0.06,42.185,0.38,20171201,0,-40.25,-33.84,0.6,11,0.4,8,0.47,16.85,19.94,2.72,NYSE,Oils-Energy,12,Oil and Gas - Exploration and Production - United States,-36.67,17.95,-3.3,20180501,-36.22,-17.75,0,1.78,1.88,8,16682.63
DVY,iShares Select Dividend ETF,,,3.05,,,,,,,,,,,,,,,,NSDQ,Finance,12,Financial - Investment Funds,,,,,,,,,,,20581.56
DWDP,Dow Chemical Company (The),13.72,1.73,2.24,0.02,22.773,0.83,20171201,-0.43,0,0,0.67,8,1.08,7,1.25,16.39,19.39,4.95,NYSE,Basic Materials,12,Chemical - Diversified ,23.88,22.22,14.52,20180426,-0.17,-0.12,0,3.26,4.14,5,158094.08
DWHHF,Deutsche Wohnen AG,,,0,,,1.89,20170601,,,,,,,,,27.81,8.96,,OTC,Finance,12,Real Estate - Operations,,,,20180316,0,,,1.44,1.56,,15385.82
DWVYF,Derwent London Plc,25.97,,0,,,,,,,,,,,,,28.78,,1.54,OTC,Finance,12,REIT and Equity Trust - Other,,,,,6.92,15.79,,1.15,1.39,,4458.99
DXC,DXC Technology Company.,11.57,1.27,0.69,-0.02,32.53599,2.15,20171201,-0.14,0,0,1.99,9,2.2,9,1.98,13.29,15.31,9.03,NYSE,Computer and Technology,3,Computers - IT Services,8.04,26.14,23.92,20180524,0.36,-0.05,0,2.78,7.86,6,29837.24
DXCM,"DexCom, Inc.",,,0,-0.07,43.85499,0.1,20171201,-16,-25.27,-79.17,0.03,12,-0.32,11,-0.18,,,-0.22,NSDQ,Medical,12,Medical - Instruments,233.33,73.33,87,20180501,-39.89,-170.33,,-0.63,-0.56,11,5645.25
DY,"Dycom Industries, Inc.",16.43,1.61,0,,51.62599,0.12,20180101,-45.92,-29.33,7.67,0.11,5,0.69,6,1.82,19.85,29.22,6.9,NYSE,Construction,1,Building Products - Heavy Construction,9.09,8.79,7.19,20180523,0.53,4.6,0,3.87,5.71,5,3535.47
DYN,Dynegy Inc.,,,0,0.02,81.47899,0.01,20171201,0,5.43,14.46,-0.33,2,-2.09,1,-0.71,13.35,,-0.04,NYSE,Utilities,12,Utility - Electric Power,103.03,-185,-66.48,20180503,29.74,82.05,,0.58,1,1,1934.84
E,ENI S.p.A.,18.82,3.58,3.86,0.05,29.53499,0.15,20170901,0,,,0.44,1,,,,14.31,30.15,1.81,NYSE,Oils-Energy,12,Oil and Gas - Integrated - International,-31.82,200,147.35,20180321,-5.31,3.43,,1.41,2.38,,61908.36
EA,Electronic Arts Inc.,25.88,2.02,0,0.2,19.53499,2.22,20171201,-0.25,0,0,2.17,12,1.16,13,0.25,30.26,31.65,4.99,NSDQ,Consumer Discretionary,3,Toys - Games - Hobbies,1.83,20,22.32,20180508,0,0,0,3.83,4.27,6,39604.72
EADSY,Airbus Group,,,0.91,0.04,60.86999,0.39,20171201,,,,,,,,,,28.39,,OTC,Aerospace,12,Aerospace - Defense,,,,20180426,,,0,1.14,,,92347.44
EAT,"Brinker International, Inc.",10.17,0.99,4.08,0.05,,0.87,20171201,-0.38,0.28,-0.15,0.7,6,1.04,7,1.13,10.82,11.22,3.66,NYSE,Retail-Wholesale,6,Retail - Restaurants,22.54,-2.33,8.65,20180424,0.84,0.14,-19.38,3.14,3.44,6,1725.97
EBAY,eBay Inc.,16.8,1.96,0,-0.11,53.38499,0.59,20171201,0.31,0.13,0.15,0.59,15,0.53,15,0.51,18.68,21.19,2.54,NSDQ,Retail-Wholesale,12,Internet - Commerce,0,0,0.52,20180418,0.07,0.28,0,2,2.28,13,43104.49
EBIX,"Ebix, Inc.",18.5,2.1,0.37,0.28,41.936,0.84,20171201,,1.78,-0.57,0.76,2,0.86,1,0.87,20.96,25.79,4.42,NSDQ,Computer and Technology,12,Computer - Services,10.53,2.7,8.22,20180508,5.69,0,0,3.07,3.9,1,2574.1
EBKDY,Erste Group Bank AG,11.31,2.54,2.11,,0,0.5,20170901,,,,,,,,,12.85,18.53,2.26,OTC,Finance,12,Banks - Foreign,,,,20180320,1.53,,,1.85,1.99,,21979.97
EBR,Centrais El?tricas Brasileiras SA,,,0,,46.81299,0.12,20170901,,,,,,,,,,,,NYSE,Utilities,12,Utility - Electric Power,,,,20180507,,,,,,,9305.11
EBR.B,Eletrobras,,,5.96,,46.81299,0.07,20170601,,,,,,,,,,,,NYSE,Utilities,12,Utility - Electric Power,,,,20180507,,,,,,,2062.45
EBS,Emergent BioSolutions Inc.,17.23,1.05,0,0.15,1.4528,0.74,20171201,0,-35.51,-1.79,0.69,3,0.3,3,0.55,23.21,27.6,3.03,NYSE,Medical,12,Medical - Biomedical and Genetics,7.25,82.5,11.79,20180503,6.14,10.26,0,1.85,2.25,2,2581.64
EBSB,"Meridian Bancorp, Inc.",16.02,,0.98,0.21,44.269,0.3,20171201,,0,0,0.24,1,0.25,1,0.27,18.3,21.58,1.28,NSDQ,Finance,12,Financial - Savings and Loan,25,19.05,14.07,20180424,0,0,,0.89,1.12,1,1108.23
EC,Ecopetrol S.A.,12.05,0.27,0.87,0.12,43.54899,0.22,20170601,-3.8,1.43,1.27,0.25,3,0.35,2,0.4,11.8,40.64,1.48,NYSE,Oils-Energy,12,Oil and Gas - Integrated - Emerging Markets,22.22,,,20180227,7.26,3.73,0,0.79,1.51,2,36758.33
ECA,Encana Corporation,9.88,1.46,0.56,0.19,38.416,0.12,20171201,6.45,-6.67,-14.74,0.1,3,0.17,5,0.16,14.62,25.12,1.09,NYSE,Oils-Energy,12,Oil and Gas - Exploration and Production - Canadian,20,-60,121.25,20180501,0,-3.43,0,0.42,0.74,5,10509.73
ECIFY,Electricite de France SA,29.83,,11.11,,,,,,,,,,,,,17.9,,0.09,OTC,Utilities,12,Utility - Electric Power,,,,20180320,25,-50,,0.09,0.15,,38762.73
ECL,Ecolab Inc.,22.99,2.03,1.2,0.11,46.77999,1.39,20171201,0.16,-1.98,-0.84,1.4,11,0.88,9,1.27,25.47,29.15,5.95,NYSE,Basic Materials,12,Chemical - Specialty,-0.71,0.74,-0.08,20180501,-0.13,-0.07,-1.65,4.7,5.37,10,39486.94
ECOL,"US Ecology, Inc.",23,,1.36,0.1,46.08399,0.73,20171201,0,-21.05,-3.45,0.64,2,0.3,2,0.56,23.99,30.94,2.3,NSDQ,Business Services,12,Waste Removal Services,14.06,-39.34,-10.79,20180426,-1.34,-3.36,,1.63,2.2,2,1157.21
ECPG,Encore Capital Group Inc,7.97,0.72,0,0.07,86.287,1.05,20171201,-0.54,7.03,8.44,0.93,5,0.99,6,1.09,9.31,10.83,5.46,NSDQ,Finance,12,Financial - Consumer Loans,12.9,26.37,11.08,20180503,10.23,11.71,0,3.91,4.68,6,1123.77
ED,Consolidated Edison Inc,17.3,4.49,3.73,0.13,48.84899,0.8,20171201,0.21,-2.88,-3.08,0.78,6,1.35,3,0.63,17.95,18.59,4.43,NYSE,Utilities,12,Utility - Electric Power,2.56,-4.55,-0.05,20180503,-0.1,0.09,100,4.09,4.27,2,23770.21
EDIT,"Editas Medicine, Inc.",,,0,-8.76,13.842,-0.84,20171201,0,-2.13,-10.93,-0.79,5,-0.77,5,-0.8,,,-3.32,NSDQ,Medical,12,Medical - Biomedical and Genetics,-6.33,-4.92,-12.48,20180521,-9.65,-2.61,,-2.92,-3.3,4,1844.45
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),9.6,,0,,90.79599,0.4,20170901,0,,,0.85,1,,,,10.58,,6.14,NYSE,Utilities,12,Utility - Electric Power,-112.5,,,20180314,-16.62,,,0.7,5.57,,2643.13
EDNMY,EDENRED,,,1.33,,,,,,,,,,,,,,,,OTC,Business Services,12,Technology Services,,,,20180322,,,0,0.63,,,8379.77
EDPFY,Energias de Portugal,,8.87,3.85,,54.124,0.71,20170601,,,,,,,,,13.22,13.88,,OTC,Utilities,12,Utility - Electric Power,,,,20180322,2.43,,0,2.92,2.95,,14260.51
EDR,Education Realty Trust Inc.,15.89,3.17,4.81,0.14,34.823,0.59,20171201,1.15,-2.34,-1.23,0.58,5,0.56,3,0.4,17.08,17.06,2.04,NYSE,Finance,12,REIT and Equity Trust - Residential,1.72,-3.33,1.38,20180507,-3.16,-3.43,0,1.89,1.9,1,2456.08
EDU,"New Oriental Education & Technology Group, Inc.",32.12,1.37,0,0.15,0,0.09,20171101,0,0,0,0.51,1,0.54,1,1.24,43.42,46.89,2.92,NYSE,Consumer Discretionary,5,Schools,-43.75,-2.86,,20180423,0.78,2.46,0,1.8,2.16,1,14787.92
EE,El Paso Electric Company,18.38,3.7,2.75,0.11,51.151,0.16,20171201,0,,,0.22,2,,,,18.88,20.12,2.65,NYSE,Utilities,12,Utility - Electric Power,-27.27,-6.96,-28.89,20180502,-3.01,,0,2.51,2.58,,1980.19
EEFT,"Euronet Worldwide, Inc.",14.75,1.12,0,0.07,25.648,1.13,20171201,0,0,0,1.12,5,0.73,5,1.24,16.82,19.19,5.93,NSDQ,Finance,12,Financial - Miscellaneous Services,0.89,0.62,0.61,20180424,0,0,0,4.56,5.2,5,4498.69
EEM,iShares MSCI Emerging Markets ETF,,,1.8,,,,,,,,,,,,,,,,NYSE,Finance,12,Financial - Investment Funds,,,,,,,,,,,43855.34
EEP,"Enbridge Energy Partners, L.P.",14.48,,12.93,0.12,48.57699,0.26,20171201,0,2.63,-17.07,0.2,4,0.19,4,0.17,15.47,13.54,0.75,NYSE,Oils-Energy,12,Oil and Gas - Production Pipeline - MLB,30,-4,40.57,20180509,-14.22,-14.02,,0.74,0.7,3,3536.18
EEX,"Emerald Expositions Events, Inc.",14.45,,1.47,0.24,41.88,0.01,20171201,-23.53,4.24,13.89,-0.07,3,0.62,2,0.2,15.2,19,1.32,NYSE,Consumer Discretionary,12,Conusmer Services - Miscellaneous,116.67,0,22.81,20180524,9.01,12.39,,1.06,1.25,2,1382.81
EFA,iShares MSCI EAFE ETF,,,2.56,,,,,,,,,,,,,,,,NYSE,Finance,12,Financial - Investment Funds,,,,,,,,,,,79419.63
EFII,"Electronics for Imaging, Inc.",11.79,4.32,0,-0.01,29.127,0.52,20171201,,-1.15,-0.65,0.54,5,0.39,4,0.53,12.97,13.51,2.39,NSDQ,Computer and Technology,12,Computer - Peripheral Equipment,-3.7,-17.24,-6.58,20180419,-0.21,0,0,2.04,2.18,4,1290.31
EFSC,Enterprise Financial Services Corporation,12.84,1.54,0.9,0.2,49.81499,0.77,20171201,0.43,0,0,0.78,3,0.86,3,0.85,13.87,18.83,3.83,NSDQ,Finance,12,Banks - Midwest,1.32,1.47,-2.08,20180423,0,0,0,2.53,3.54,3,1135.23
EFX,"Equifax, Inc.",19.09,2.09,1.26,0.17,34.93399,1.39,20171201,0.08,-0.42,3.22,1.35,9,1.37,9,1.58,20.9,20.75,6.48,NYSE,Business Services,12,Financial Transaction Services,2.96,2.68,2.42,20180425,0.77,1.85,0,5.92,5.91,8,14853.32
EGBN,"Eagle Bancorp, Inc.",12.87,,0,0.28,18.58099,0.88,20171201,0,0,0,0.89,1,1.06,1,1.1,14.12,18.78,4.86,NSDQ,Finance,12,Banks - Northeast,-1.12,6.1,4.26,20180417,0,0,,3.34,4.43,1,2140.36
EGHT,8x8 Inc,191.37,17.28,0,-0.02,0,0.02,20171201,35,-3.14,0,0.01,9,0,8,0.01,276.43,193.5,0.1,NYSE,Computer and Technology,3,Communication - Components,100,-50,20.83,20180524,1.45,3.17,0,0.21,0.07,5,1783.34
EGIEY,Tractebel Energia SA,,,6.44,,30.76399,0.22,20170301,,,,,,,,,,15.13,,OTC,Utilities,12,Utility - Electric Power,,,,20180322,,,,,,,7506.53
EGN,Energen Corporation,13.42,,0,0.32,18.545,0.63,20171201,1.68,10.37,6.54,0.42,13,0.7,12,0.74,17.98,74.91,4.24,NYSE,Oils-Energy,12,Oil and Gas - Exploration and Production - United States,53.66,33.33,19.67,20180503,12.11,19.18,,0.53,3.17,11,5545.25
EGP,"EastGroup Properties, Inc.",17.83,4.32,3.05,0.3,59.604,1.14,20171201,-0.16,1.23,0.71,1.1,7,1.1,6,1.13,18.6,19.68,4.7,NYSE,Finance,12,REIT and Equity Trust - Other,3.64,0,1.16,20180419,0.25,0.15,0,4.23,4.51,5,2912.85
EHC,Encompass Health Corporation,15.89,1.34,1.72,0.06,66.007,0.7,20171201,0.46,5.42,5.04,0.66,8,0.81,7,0.86,17.64,20.95,3.65,NYSE,Medical,12,Medical - Outpatient and Home Healthcare,6.06,1.54,4.93,20180426,2.81,6.21,3.39,2.72,3.29,6,5696
EIG,Employers Holdings Inc,15.98,,1.96,0.13,0,1.06,20171201,0,-19.36,-18.31,0.56,1,0.5,1,0.58,18.11,14.15,2.55,NYSE,Finance,12,Insurance - Accident and Health,89.29,14.04,31.55,20180425,-18.18,-7.27,,2.39,2.25,1,1332.76
EIGI,"Endurance International Group Holdings, Inc.",,,0,-0.09,95.74099,0.05,20171201,-2.94,0,11.11,-0.18,3,-0.1,3,-0.07,,,-0.03,NSDQ,Computer and Technology,12,Internet - Software and Services,129.41,-61.11,18.47,20180501,36.26,0,,-1,-0.19,3,1154.19
EIX,Edison International,14.01,2.61,3.78,0.06,45.68099,1.1,20171201,-0.18,-7.13,-8.43,0.93,5,0.94,5,0.81,15.21,14.29,4.57,NYSE,Utilities,12,Utility - Electric Power,18.28,7.52,12.35,20180507,-1.24,-1.17,-8.4,4.32,4.21,4,20851.92
