Company Name,Ticker,Q0 Consensus Est. (last completed fiscal Qtr),Q1 Consensus Est. ,# of Analysts in Q0 Consensus,# of Analysts in Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Div. Yield %,Net Margin,% Change LT Growth Est. (4 weeks),% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),Exchange,Month of Fiscal Yr End,Sector,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,Last Reported Qtr ,Last Qtr EPS,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q2 Est. (4 weeks),Debt/Total Capital,Market Cap 
"Brilliance China Automotive Holdings Ltd. Unsponsored ADR","BCAUY","","","","","","","","","","","","","",".59","","","","","OTC","12","Auto-Tires-Trucks","Automotive - Original Equipment","","","","20180406","","","","","","","11160.2"
"Boise Cascade, L.L.C.","BCC",".45",".79","3","2","1","2","1.92","2.67","2.74","20.73","14.91","14.54","2.22",".7",".02","-4.69","1.17","2.5","NYSE","12","Construction","Building Products - Wood","-3.45","32.79","52.92","20180502","20171201",".28","11.67","-2.47","-3.37","39.386","1535.72"
"BCE, Inc.","BCE",".66",".73","4","3",".72","3","2.68","2.73","2.85","16.37","15.67","15.01","4.48","5.62",".13","0","-.55","-.57","NYSE","12","Utilities","Diversified Communication Services","1.69","4.48","1.18","20180503","20171201",".6","0","0","0","48.318","38502.08"
"Banco De Chile","BCH","1.49","1.51","2","1","1.48","1","5.63","6.09","6.78","18.45","16.37","14.7","1.07","2.38",".23","0",".79","-1.4","NYSE","12","Finance","Banks - Foreign",".72","-8.03","-.73","20180514","20171201","1.4",".68",".68","","71.216","16664.88"
"Beach Energy Ltd.","BCHEY","","","","","","","","","","","","","","1.41",".6","","","","OTC","6","Oils-Energy","Oil and Gas - Exploration and Production - International","","","","","","","","","","","2200.27"
"Babcock International Group PLC","BCKIY","","","","","","","1.13","1.2","1.28","","7.93","7.41","1.98","3.48","","0","3.78","1.56","OTC","3","Construction","Engineering - R and D Services","","","","20180523","","","","","","35.51399","4793.06"
"Bank of Communications Co.","BCMXY","","","","","","","","","","6.1","","","","4.24","","","","","OTC","12","Finance","Banks - Foreign","","","","20180427","20170901",".79","","","","52.873","27958.1"
"Brink's Company (The)","BCO",".6",".77","2","2","1.12","2","3.02","3.81","4.85","24.62","19.32","15.18",".94",".82","0","0","3.93",".53","NYSE","12","Business Services","Outsourcing","-5.94","10.67","18.59","20180425","20171201",".95","-4.8",".65","1.36","77.11499","3722.32"
"Blucora, Inc.","BCOR",".98",".87","2","2","-.15","2","1.39","1.48","1.86","18.8","16.39","13.07",".82","0",".05","0","-2.88","-3.9","NSDQ","12","Business Services","Technology Services","50","40","27.91","20180503","20171201","-.12","5.23","-3.89","-61.11","39.678","1132.72"
"Balchem Corporation","BCPC","","","","","","","","","","33.09","","","",".5",".15","","","","NSDQ","12","Basic Materials","Chemical - Specialty","","","","20180508","20171201",".68","","","","23.52899","2692.95"
"Barclays PLC","BCS",".13","","1","","","",".83","1.1","1.29","15.06","10.82","9.19",".58","1.82","-.06","0",".39",".46","NYSE","12","Finance","Banks - Foreign","-7.69","-24","6.06","20180427","20171201",".12","0","","","80.40299","50764.7"
"Belden Inc","BDC","1.1","1.43","5","5","1.61","5","5.52","6.09","6.5","12.3","10.75","10.07","",".31",".04","","-.31",".07","NYSE","12","Industrial Products","Wire and Cable Products","-8.47","5.67","1.79","20180502","20171201","1.62",".36",".42","1.13","52.101","2743.96"
"BGEO Group PLC","BDGSF","","","","","","","","","","","","","","0","","","","","OTC","12","Finance","Banks - Foreign","","","","","","","","","","","1983.32"
"Brandywine Realty Trust","BDN",".32",".34","7","5",".35","5","1.31","1.37","1.46","11.53","11.22","10.5","2","4.69",".23","0","0","0","NYSE","12","Finance","REIT and Equity Trust - Other","-3.03","0","-.76","20180419","20171201",".32","0","0","0","51.115","2737.3"
"Banco Do Brasil SA","BDORY","","","","","","","","","","","","","",".63","","","","","OTC","12","Finance","Banks - Foreign","","","","20180509","20170901","448.83","","","","65.51799","34342.02"
