Company Name,Ticker,Q0 Consensus Est. (last completed fiscal Qtr),Q1 Consensus Est. ,# of Analysts in Q0 Consensus,# of Analysts in Q1 Consensus,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Div. Yield %,Net Margin,% Change LT Growth Est. (4 weeks),% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),Exchange,Month of Fiscal Yr End,Sector,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,Last Reported Qtr ,Last Qtr EPS,% Change Q0 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q2 Est. (4 weeks),Debt/Total Capital,Market Cap 
"Grupo Carso SA de CV","GPOVY","","","","","","","","","","17.5","","","","1.24","","","","","OTC","12","Conglomerates","Diversified Operations","","","","20180426","20170901",".1","","","","0","7944.07"
"The Gap, Inc.","GPS",".58",".46","13","13",".73","11","2.1","2.63","2.77","14.48","11.73","11.14","1.47","2.98",".05","0","-.23",".16","NYSE","1","Retail-Wholesale","Retail - Apparel and Shoes","3.39","5.45","11.13","20180517","20180101",".61","-1","2.23","1.89","28.43199","11996.76"
"Gramercy Property Trust","GPT",".51",".5","6","6",".51","7","2.05","2.04","2.07","10.71","10.75","10.6","2.4","6.83",".16","0","-1.02","-1.26","NYSE","12","Finance","REIT and Equity Trust - Other","0","-1.85","-1.92","20180501","20171201",".52","-1.53","-1.94","-1.76","42.311","3529.19"
"W.R. Grace & Co.","GRA",".71",".91","4","4","1","4","3.38","3.74","4.2","18.14","16.47","14.67","1.37","1.56",".01","0","0","0","NYSE","12","Basic Materials","Chemical - Specialty","2.08","11.11","6.53","20180425","20171201",".98","0","0","0","85.26699","4175.3"
"GREE INC TOKYO","GREZF","","","","","","",".2",".29",".3","","18.45","17.83",".88","0","","0","0","0","OTC","6","Computer and Technology","Internet - Services","","","","","","","","","","","1294.54"
"Grifols, S.A.","GRFS",".3",".34","2","2",".34","2","1.17","1.34","1.46","18.38","15.09","13.85","1.28","1.41",".15","0","0","0","NSDQ","12","Medical","Medical - Drugs","-9.68","0","-4.24","20180502","20171201",".28","0","0","0","61.89099","13806.68"
"Garmin Ltd.","GRMN",".56",".89","6","5",".76","5","2.9","3.05","3.21","19.87","19.18","18.22","2.3","3.49",".23","0","0","0","NSDQ","12","Computer and Technology","Electronics - Miscellaneous Products","5.33","13.64","10.79","20180502","20171201",".79","0","0","0","0","11571.66"
"Grafton Group PLC","GROUF","","","","","","",".73",".79",".9","","14.27","12.44","","0","","","0","0","OTC","12","Construction","Building Products - Miscellaneous","","","","20180403","","","","","","","2659.16"
"Granite Real Estate Inc.","GRP.U",".63",".64","1","1",".68","1","2.61","2.67","2.89","15.48","14.81","13.65","","5.37","1.61","","0","0","NYSE","12","Finance","REIT and Equity Trust - Other","1.45","2.99","-3.21","20180508","20171201",".7","0","0","0","23.24099","1854.28"
"Groupon, Inc.","GRPN","0","-.02","9","6","0","6",".13",".03",".07","","127.46","59.59","19.61","0","0","0","0","0","NSDQ","12","Retail-Wholesale","Internet - Commerce","-22.22","0","63.19","20180502","20171201",".07","0","0","0","42.97","2453.89"
"Grasim Industries Ltd.","GRSXY","","","","","","","","","","13.33","","","",".57","","","","","OTC","3","Consumer Discretionary","Textile - Apparel","","","","20180518","20170601",".3","","","","","6536.15"
"GrubHub Inc.","GRUB",".36",".27","10","9",".28","9","1.14","1.16","1.71","98.07","83.99","56.81","3.62","0",".14","0",".79",".52","NYSE","12","Computer and Technology","Internet - Delivery Services","19.35","16.67","14.21","20180426","20171201",".37","0","0","0","13.17599","8465.67"
"The Goldman Sachs Group, Inc.","GS","5.62","4.64","6","5","5.38","5","18.98","21.83","24.62","12.62","11.45","10.15",".89","1.2",".13","0",".98","1.23","NYSE","12","Finance","Financial - Investment Bank","15.92","16.47","11.42","20180417","20171201","5.68","3.82","-1.53",".22","72.579","94960.35"
"iShares S&P GSCI Commodity-Indexed Trust","GSG","","","","","","","","","","","","","","0","","","","","NYSE","12","Finance","Financial - Investment Funds","","","","","","","","","","","1431.14"
"Guangshen Railway Company Limited","GSH","","","","","","","","","","28.27","","","","1.83","","","","","NYSE","12","Transportation","Transportation - Rail","","","","20180425","20170901",".4","","","","0","3924.29"
"GlaxoSmithKline plc","GSK",".73",".73","1","1","","","2.96","2.93","3.03","13.82","13.6","13.16","2.22","6.35",".05","9.48","1.62","-.51","NYSE","12","Medical","Large Cap Pharmaceuticals","4.35","1.19","2.12","20180425","20171201",".72","2.82","2.82","","80.347","99003.8"
"Ferroglobe PLC","GSM",".19",".33","5","5",".32","5",".13","1.16","1.26","79.08","8.88","8.18","","0",".01","","-10.54","-7.21","NSDQ","12","Basic Materials","Chemical - Specialty","-14.29","66.67","129.76","20180521","20171201",".06","-1.03","-7.78","-8.09","30.958","1766.49"
"The Goodyear Tire & Rubber Company","GT",".44",".79","4","4","1.2","4","2.89","3.67","4.32","8.54","7.3","6.2",".59","2.09",".02","0","-2.61","2.11","NSDQ","12","Auto-Tires-Trucks","Rubber - Tires","30.26","5.97","12.73","20180427","20171201",".99","-17.06","-6.76","2.58","51.138","6447.24"
"Gran Tierra Energy Inc.","GTE",".09",".09","1","1",".09","1",".09",".27",".35","45.33","10.07","7.77","","0","-.08","","0","0","AMEX","12","Oils-Energy","Oil and Gas - Exploration and Production - Canadian","-42.86","-80","-41.75","20180502","20171201",".04","0","0","0","21.506","1048.27"
"Gates Industrial Corporation PLC","GTES",".19",".29","3","3",".24","3",".73",".97","1.18","","17.57","14.43","","0",".05","","2.32","5.07","NYSE","12","Construction","Engineering - R and D Services","","","","20180612","20171201","","1.79","7.41","2.86","73.637","4821.88"
"G1 THERAPEUTICS","GTHX","-.64","-.57","3","2","-.61","2","-2.72","-2.47","-2.84","","","","","0","","","0","0","NSDQ","12","Medical","Medical - Biomedical and Genetics","-3.45","1.79","","20180516","20171201","-.6","0","0","0","0","1142.59"
"Chart Industries, Inc.","GTLS",".19",".45","3","3",".54","3",".85","1.85","2.42","60.77","32.19","24.63","1.29","0",".03","0","0","0","NSDQ","12","Industrial Products","Manufacturing - General Industrial ","43.75","30.43","6.05","20180426","20171201",".46","0","0","0","35.29399","1841.41"
"Gray Television, Inc.","GTN",".16",".44","4","4",".47","4","1.57","1.86","1.27","11.43","6.44","9.43","1.51","0",".3","0","-3.2","1.36","NYSE","12","Consumer Discretionary","Broadcast Radio and Television","60","0","49.07","20180508","20171201",".4","-13.89","-1.68","2.2","64.83999","1083.84"
"Gemalto Nv","GTOMY","","","","","","","","","","","","","",".71","-.14","","","","OTC","12","Computer and Technology","Internet - Software and Services","","","","","","","","","","","5533.95"
"GTT Communications, Inc.","GTT","-.08","-.02","4","4",".05","2","-.77",".04","1.28","357","1530","41.84","43.71","0","-.09","0","0","0","NYSE","12","Computer and Technology","Computers - IT Services","130.77","233.33","163.38","20180503","20171201",".04","0","0","0","84.23899","2400.38"
"Getty Realty Corporation","GTY",".47",".44","3","2",".46","2","1.94","1.8","1.95","14.16","14.04","12.98","4","5.05",".39","50.64","3.63","1.98","NYSE","12","Finance","REIT and Equity Trust - Other","-4.44","-6.67","3.38","20180503","20171201",".43","3.7","1.14","3.41","40.645","1006.65"
"Granite Construction Incorporated","GVA","-.37",".83","2","2","1.62","2","1.58","3.2","4.32","34.34","17.28","12.81","2.47",".94",".02","0","0","0","NYSE","12","Construction","Building Products - Heavy Construction","5.88","3.64","-43.04","20180501","20171201",".72","0","0","0","15.236","2205.52"
"Great Western Bancorp, Inc.","GWB",".7",".73","6","5",".76","5","2.42","2.92","3.27","15.21","13.28","11.85","1.29","2.06",".29","0","0",".07","NYSE","9","Finance","Banks - Northeast","14.29","4.92","2.78","20180426","20171201",".72","0","0","0","31.93199","2283.99"
"GW Pharmaceuticals PLC","GWPH","-2.28","-2.4","3","1","-2.64","1","-6.02","-9.66","-6.12","","","","","0","-15.17","","0","-7.88","NSDQ","9","Medical","Medical - Products","-19.7","-26.01","-19.67","20180508","20171201","-2.43","-7.29","-21.21","-36.43","1.0168","3077.47"
"Genesee & Wyoming, Inc.","GWR",".74",".97","7","5","1.09","5","2.89","3.82","4.52","23.52","17.9","15.15","1.11","0",".25","0","0","0","NYSE","12","Transportation","Transportation - Rail","2.67","-2.41","-2.15","20180501","20171201",".77","0","0","0","37.15499","4287.07"
"Guidewire Software, Inc.","GWRE",".18","-.23","7","4",".52","4",".85","-.02",".37","252.84","","218.68","","0",".04","-32.06","11","50","NYSE","7","Computer and Technology","Business - Software Services","73.68","57.14","203.86","20180607","20180101",".33","-700","-2.27","13.32","0","6097.54"
"W.W. Grainger, Inc.","GWW","3.37","3.49","9","8","3.58","8","10.71","13.76","15.82","25.01","20.84","18.12","2.15","1.79",".06","0",".28","-.41","NYSE","12","Industrial Products","Industrial Services","34.86","12.84","11.99","20180419","20171201","2.94","-.68","-.55","-.43","55.15599","16083.62"
"Great Plains Energy Inc","GXP",".14",".46","2","2","1.12","2","1.76","1.82","1.91","17.82","17.07","16.26","3.41","3.55","-.04","0","0","-.63","NYSE","12","Utilities","Utility - Electric Power","0","20.69","5.13","20180503","20171201",".13","0","0","0","40.02","6685.61"
"Gazprom Neft OAO","GZPFY","","","","","","","","","","6.17","","","","5.56","","","","","OTC","12","Oils-Energy","Oil and Gas - Integrated - International","","","","20180522","20170901","1.4","","","","25.15399","25256.91"
"Gazit-Globe Ltd.","GZT",".2","","1","","","","1.01","","","","","","","4.12",".17","","","","NYSE","12","Finance","Real Estate - Development","75","","","20180522","20170901",".35","","","","57.893","1867.1"
"Hyatt Hotels Corporation","H",".3",".55","10","9",".34","9","1.73","1.49","1.77","43.05","50.28","42.25","10.95",".8",".05","0","-1.94","-1.65","NYSE","12","Consumer Discretionary","Hotels and Motels","21.05","52.94","81.68","20180503","20171201",".23","-3.81","-1.6","-2.27","28.968","8893.32"
"Hawaiian Holdings, Inc.","HA",".82","1.34","7","5","1.9","5","5.64","5.29","5.4","7.08","7.55","7.39","3.34","1.2",".14","0","1.47","1.17","NSDQ","12","Transportation","Transportation - Airline","0","3.78","6.99","20180419","20171201","1.1","25.05","-3.87","-3.64","34.60699","2049.83"
"Haemonetics Corporation","HAE",".43",".46","4","5",".54","5","1.86","2.13","2.82","39.3","33.52","25.41","3.09","0","","0","0","2.19","NYSE","3","Medical","Medical - Products","40.91","17.07","17.46","20180514","20171201",".62","-.58","1.79",".75","12.60799","3823.14"
"The Hain Celestial Group, Inc.","HAIN",".48",".55","7","7",".3","4","1.19","1.66","1.87","21.91","18.45","16.41",".97","0",".02","0","0","0","NSDQ","6","Consumer Staples","Food - Miscellaneous","-2.38","0","-7.86","20180628","20171201",".41","0","0","0","28.936","3187.17"
"Halliburton Company","HAL",".41",".59","12","10",".72","10","1.16","2.52","3.33","38.52","18.64","14.1","2.33","1.53","-.02","0","-.53","-1.06","NYSE","12","Oils-Energy","Oil and Gas - Field Services","15.22","10.53","20.03","20180423","20171201",".53","-6.17","-.6",".78","55.541","41120.77"
"Halozyme Therapeutics, Inc.","HALO","-.21","-.21","5","5","-.21","5",".26","-.82","-.48","49.84","","","","0",".2","","0","0","NSDQ","12","Medical","Medical - Biomedical and Genetics","28.79","116.67","37.36","20180508","20171201",".85","0","0","0","37.52299","2722.27"
"Hasbro, Inc.","HAS",".36",".56","7","7","2.43","7","4.97","5.26","5.77","15.78","16.04","14.63","1.38","2.7",".08","0","-1.32","-2.28","NSDQ","12","Consumer Discretionary","Toys - Games - Hobbies","26.37","8.29","16.52","20180423","20171201","2.3","-11.39","-2.24","-1.16","48.06499","10558.06"
"Hannon Armstrong Sustainable Infrastructure Capital, Inc.","HASI",".31",".26","6","2",".27","2","1.28","1.08","1.15","17.23","17.79","16.63","2.54","6.9",".29","0","-.86","-4.02","NYSE","12","Finance","REIT and Equity Trust","-3.12","-6.06","-.73","20180501","20171201",".31",".99","-5.36","-5.26","68.966","1020.01"
"HAVAS ORD","HAVSF","","","","","","","","","","","","","","0","","","","","OTC","12","Business Services","Advertising and Marketing","","","","20180403","","","","","","","4511.29"
"Blackhawk Network Holdings, Inc.","HAWK",".09","-.15","4","1","-.1","1","1.6",".56",".77","","79.64","57.92","4.58","0","-.07","0","-3.14","2.75","NSDQ","12","Finance","Financial - Miscellaneous Services","3.94","100","98.49","20180425","20171201","1.32","0","0","0","49.01599","2523.42"
"HAYS PLC","HAYPY","","","","","","","1.14","1.54","1.82","","16.68","14.12","1.11","1.02",".03","0","0","0","OTC","6","Business Services","Staffing Firms","","","","","","","","","","","3726.67"
"Huntington Bancshares Incorporated","HBAN",".28",".3","10","9",".31","9",".89","1.21","1.32","14.86","12.03","11.04","1.1","3.02",".25","0",".13",".06","NSDQ","12","Finance","Banks - Midwest","0","0","2.12","20180424","20171201",".26",".72","-.37",".35","45.984","16050.01"
"Hancock Holding Company","HBHC",".89",".94","6","4",".99","4","2.66","3.84","4.24","17.39","13.28","12.02","1.66","1.88",".18","0","1.3",".56","NSDQ","12","Finance","Banks - Southeast","3.61","2.7","4.21","20180417","20171201",".86",".38","1.18","1.02","9.57579","4421.34"
"Hanesbrands Inc.","HBI",".24",".46","8","7",".57","7","1.95","1.76","1.94","9.73","10.71","9.75","1.19","3.18",".01","0","0","0","NYSE","12","Consumer Discretionary","Textile - Apparel","-1.89","0",".42","20180501","20171201",".52","0","0","0","84.36299","6801.39"
"HudBay Minerals Inc","HBM",".21",".21","2","2",".22","2",".57",".8",".94","12.55","8.68","7.37","",".23",".12","","-13","2.91","NYSE","12","Basic Materials","Mining - Miscellaneous","-3.7","5","-41.94","20180502","20171201",".26","2.44","2.44","2.33","32.783","1802.77"
"HCA Healthcare, Inc.","HCA","2.07","2.21","12","11","1.89","11","6.56","8.71","9.5","14.11","11.05","10.14",".96","1.45",".05","0",".04",".03","NYSE","12","Medical","Medical - Hospital","13.37","0","2.22","20180501","20171201","2.12",".04",".04",".05","","33674.76"
"Warrior Met Coal Inc.","HCC","2.74","1.9","3","3","1.39","3","7.85","7.06","2.84","3.38","3.91","9.74","",".72",".39","","35.48","36.44","NYSE","12","Oils-Energy","Coal","16",".44","14.78","20180517","20171201","1.16","1.36","7.55","73.03","47.464","1470.64"
"Hochschild Mining PLC","HCHDF","","","","","","","","","","","","","","1","","","","","OTC","12","Basic Materials","Mining - Silver","","","","20180404","","","","","","","1399.46"
"HITACHI CHEMICL","HCHMY","","","","","","","3.27","3.89","4.23","11.55","11.61","10.67","",".83","","","0","0","OTC","3","Basic Materials","Chemical - Diversified ","","","","20180510","20170601",".97","","","","8.074","4703.82"
"Hutchison China MediTech Limited","HCM","","","","","","","-.2","-.46","-.62","","","","","0","-.11","","-668.75","-10.98","NSDQ","12","Medical","Medical - Products","","","","","","","","","","0","3944.69"
"Holcim Ltd.","HCMLY",".15","","1","","","",".67",".75",".86","18.53","14.57","12.71","1.82","3.2","-.06","0","-1.15","-2.6","OTC","12","Construction","Building Products - Concrete and Aggregates","-40","0","","20180502","20171201",".09","0","","","30.76399","33167.58"
"HCP, Inc.","HCP",".46",".46","9","9",".44","9","1.94","1.81","1.83","11.9","12.82","12.69","4.27","6.38",".22","0","-.66","-.68","NYSE","12","Finance","REIT and Equity Trust - Other","2.13","4.35","3.72","20180503","20171201",".48","-.36","-1.55","-2.11","55.09099","10891.08"
"Healthcare Services Group, Inc.","HCSG",".39",".41","4","4",".43","4","1.23","1.67","1.86","36.04","25.43","22.93","2.31","1.8",".05","0","0","0","NSDQ","12","Business Services","Business - Services","-15.63","-3.12","-2.96","20180410","20171201",".27","0","0","0","0","3133.57"
"The Home Depot, Inc.","HD","1.62","2.08","14","14","2.83","13","7.38","9.43","10.18","23.42","18.5","17.14","1.4","2.36",".09","-4.01","0","-.02","NYSE","1","Retail-Wholesale","Building Products - Retail","4.32","1.66","2.88","20180515","20180101","1.69",".14","-.1","-.03","94.347","203713.81"
"HDFC Bank Limited","HDB",".88",".9","1","1",".99","1","3.2","3.99","4.93","33.46","24.74","20.02",".89",".5","","0","0","0","NYSE","3","Finance","Banks - Foreign","0","","","20180420","20171201",".82","0","0","0","","85022.08"
"HeidelbergCement AG","HDELY",".52","","1","","","","1.45","1.7","1.96","14.84","11.52","9.99","1.65","1.16","","0","-2.49","-2.3","OTC","12","Construction","Building Products - Concrete and Aggregates","","","","20180509","20170901",".57","","","","36.46699","19434.89"
"Hortonworks, Inc.","HDP","-.27","-.63","4","4","-.58","4","-1.4","-2.43","-1.95","","","","","0","-.78","-36.21","2.01","2.7","NSDQ","12","Computer and Technology","Internet - Software","-4.35","40","12.88","20180503","20171201","-.24","2.21","2.58","1.83","","1398.74"
"HD Supply Holdings, Inc.","HDS",".44",".63","9","7",".93","6","2.28","3.16","3.16","14.86","12.03","12.06",".77","0",".19","-21.38","16.79","11.18","NSDQ","1","Industrial Products","Industrial Services","11.36","6.67","3.74","20180605","20180101",".49","-.25","7.51","4.64","58.77399","7059.72"
"Hawaiian Electric Industries, Inc.","HE",".38",".41","3","2",".63","2","1.64","1.88","2","21.07","18.51","17.36","2.74","3.57",".07","20.88","2.87","-.27","NYSE","12","Utilities","Utility - Electric Power","4.88","-3.51",".15","20180504","20171201",".43","4.63","-4.65","0","45.02899","3783.31"
"H&E Equipment Services, Inc.","HEES",".21",".44","2","2",".63","2","1.6","1.94","2.17","18.49","18.65","16.66","1.3","3.04",".11","0","0","0","NSDQ","12","Industrial Products","Manufacturing - Construction and Mining","83.33","94.87","51.32","20180426","20171201",".77","0","0","0","81.34899","1292.25"
"Hengan International Group Co., Ltd. Unsponsored ADR","HEGIY","","","","","","","","","","","","","","2.9","","","","","OTC","12","Consumer Discretionary","Consumer Products - Discretionary","","","","20180403","","","","","","","11702.36"
"Heico Corporation","HEI",".39",".53","3","4",".56","3","1.68","2.24","2.4","51.82","38.96","36.42","3.21",".16",".12","14.33",".46","3.99","NYSE","10","Aerospace","Aerospace - Defense Equipment","-12.82","8.77",".97","20180522","20180101",".34","0","2.58","3.05","37.58399","9223.73"
"Heico Corporation","HEI.A","","","","","","","","","","42.43","","","",".16",".12","","","","NYSE","10","Aerospace","Aerospace - Defense Equipment","","","","20180522","20180101",".34","","","","","7552.55"
"Heineken NV","HEINY","","","","","","","2.34","2.58","2.78","","21.42","19.86","2.55","1.1",".09","-1","0",".26","OTC","12","Consumer Staples","Beverages - Alcohol","","","","","","","","","","","63590.68"
"Helen of Troy Limited","HELE","1.44","1.29","3","2","1.59","2","7.01","6.86","7.19","12.44","12.38","11.82","2.66","0","","100.86","","-1.01","NSDQ","2","Consumer Staples","Cosmetics","18.87","20.44","16.99","20180426","20171101","2.52","-1.11","-2.27","-2.16","29.166","2290.93"
"Henkel AG & Co.","HENKY","","","","","","","7.04","7.68","8.27","19.05","16.37","15.2","2.56",".97",".13","-20.99",".85","1.32","OTC","12","Consumer Staples","Soap and Cleaning Materials","","","","20180510","20171201","1.59","","","","17.09099","32666.75"
"Holly Energy Partners, L.P.","HEP",".4",".45","3","3",".46","3","1.72","1.83","1.9","14.39","14.92","14.39","14.92","9.51",".43","0","0","0","NYSE","12","Oils-Energy","Oil and Gas - Production and Pipelines","12","57.14","2.36","20180501","20171201",".56","0","0","0","75.65399","2879.11"
"Hess Corporation","HES","-.56","-.5","7","5","-.5","5","-4.51","-1.95","-.78","","","","","1.96","-.75","0","16.84","3.84","NYSE","12","Oils-Energy","Oil and Gas - Integrated - United States","-12.22","17.05","-.76","20180425","20171201","-1.01","-3.17",".4","2.33","34.116","16096.11"
"HFF, Inc.","HF",".64",".6","1","1",".69","1","2.37","2.88","2.9","18.86","16.11","16","","0",".16","","0","0","NYSE","12","Finance","Real Estate - Operations","9.41","-3.57","22.41","20180425","20171201",".93","0","0","0",".04536","1796.93"
"HollyFrontier Corporation","HFC",".38","1.23","8","7","1.38","7","2.41","3.49","3.72","22.62","14.96","14.06","1.5","2.53",".06","0","3.37","-1.16","NYSE","12","Oils-Energy","Oil and Gas - Refining and Marketing","-14.63","28.09","-3.95","20180502","20171201",".7","-21.85","-.35","4.42","29.76399","9268.99"
"Heritage Financial Corporation","HFWA",".41",".44","4","4",".45","4","1.42","1.78","2.12","20.37","16.8","14.14","1.68","2",".23","0","4.05","-1.52","NSDQ","12","Finance","Financial - Savings and Loan","16.67","0","8.86","20180426","20171201",".42","0","-1.66","-3.74","18.12199","1018.69"
"Power Assets Holdings Ltd.","HGKGY","","","","","","","","","","","","","","16.28","","","","","OTC","12","Utilities","Utility - Electric Power","","","","20180403","","","","","","","16732.61"
"Hilton Grand Vacations Inc.","HGV",".62",".77","2","2",".61","2","1.96","2.83","3.07","21.65","15.07","13.92","","0",".19","","0","0","NYSE","12","Consumer Discretionary","Hotels and Motels","1.96","2.38","12.97","20180502","20171201",".52","0","0","0","67.277","4233.1"
"Howard Hughes Corporation (The)","HHC",".37",".32","1","1",".13","1",".72","1.1","","79.42","124.18","","","0",".15","","","0","NYSE","12","Finance","Real Estate - Development","374.07","-67.57","","20180502","20171201","1.28","0","0","0","47.26599","5921.88"
"Hopewell Highway Infrastructure Ltd.","HHILY","","","","","","","","","","","","","","4.91","","","","","OTC","6","Construction","Building Products - Heavy Construction","","","","","","","","","","","1907.57"
"Hillenbrand Inc","HI",".6",".53","1","1",".66","1","2.06","2.36","2.51","20.38","19.17","18.03","","1.83",".08","","0","0","NYSE","9","Consumer Staples","Funeral Services","14.89","6.9","14.37","20180502","20171201",".54","0","0","0","38.298","2852.15"
"The Hartford Financial Services Group, Inc.","HIG","1.13",".98","4","3","1.06","3","3.38","4.4","4.89","14.82","11.62","10.46","1.22","1.96","-.18","0",".27","-.19","NYSE","12","Finance","Insurance - Multi line","9.46","1.69","4.66","20180426","20171201",".81","-.44","-.68","-.62","25.743","18248.87"
"Huntington Ingalls Industries, Inc.","HII","4.07","4.39","4","2","4.32","2","12.09","17.38","17.65","22.37","14.75","14.53",".98","1.12",".06","0","0","0","NYSE","12","Aerospace","Aerospace - Defense","6.51","17.63","3.85","20180503","20171201","3.11","0","0","0","42.11399","11479.1"
"Himax Technologies, Inc.","HIMX","-.03","0","4","3",".06","3",".2",".11",".35","37.53","56.3","18.23","2.25","3.61",".04","0","-11.02","-35.85","NSDQ","12","Computer and Technology","Electronics - Semiconductors","-6.67","25","9.58","20180510","20171201",".14","-42.86","-100","-17.39",".79597","1098.02"
"Hino Motors Ltd.","HINOY","","","","","","","","","","15.4","","","",".75","","","","","OTC","3","Auto-Tires-Trucks","Automotive - Foreign","","","","20180426","20171201","2.49","","","","2.58109","7217.94"
"H.I.S. Co., Ltd.","HISJF","","","","","","","1.59","1.59","1.95","","23.53","19.19","1.38","0","","0","1.56","3.92","OTC","10","Consumer Discretionary","Leisure and Recreation Services","","","","20180410","20170701",".23","","","","","2564.13"
"Highwoods Properties, Inc.","HIW",".83",".86","9","7",".86","7","3.38","3.42","3.54","12.75","12.67","12.23","4.29","4.27",".26","0","-.08","-.06","NYSE","12","Finance","REIT and Equity Trust - Other","1.2","1.18","2.7","20180424","20171201",".84",".07","-.33","0","49.103","4477.36"
"Hikma Pharmaceuticals Plc","HKMPF","","","","","","",".9",".93","1","","18.49","17.1","6.16","1.29","","-25","21.95","3.35","OTC","12","Medical","Medical - Drugs","","","","20180613","","","","","","","4118.83"
"Hecla Mining Company","HL","-.01","0","3","2",".02","1",".05",".02",".12","45.38","155.57","31.11","155.57",".28","-.04","0","-.71","55.56","NYSE","12","Basic Materials","Mining - Silver","100","100","","20180514","20171201",".04","0","100","100","25.51899","1449.81"
"Henderson Land Development Co.","HLDCY","","","","","","",".47",".48",".57","","13.29","11.19","","2.73","","","","-4","OTC","12","Finance","Real Estate - Operations","","","","20180403","","","","","","","25527.31"
"Herbalife LTD.","HLF","1.07","1.62","1","1","1.1","1","4.55","5.3","5.95","20.27","18.58","16.55","","0",".05","","0","0","NYSE","12","Retail-Wholesale","Retail - Pharmacies and Drug Stores","34.38","0","28.55","20180503","20171201","1.29","0","0","0","90.858","8610.87"
"Hailiang Education Group Inc.","HLG","","","","","","","","","","","","","","0",".2","","","","NSDQ","6","Consumer Discretionary","Schools","","","","20180326","","","","","","","1967.08"
"Houlihan Lokey, Inc.","HLI",".57",".57","2","2","","","2.32","2.74","2.74","18.62","15.9","15.9",".88","1.84","","0","0","0","NYSE","3","Finance","Financial - Miscellaneous Services","21.05","36.59","25.6","20180508","20171201",".69","0","0","","2.01119","2870.35"
"HALMA PLC","HLMAF","","","","","","",".61",".69",".73","","24.64","23.12","2.24","0","","0","0",".74","OTC","3","Industrial Products","Security and Safety Services","","","","20180620","","","","","","","6399.13"
"Hamilton Lane Inc.","HLNE",".34",".44","3","2",".41","2","1.4","1.75","2.06","28.23","21.09","17.95","1.41","1.89","","0",".16","3.95","NSDQ","3","Finance","Financial - Investment Management","58.62","3.85","24.52","","20171201",".46","8.51","22.22","-1.2","43.92599","1796.01"
"Hang Lung Properties Ltd.","HLPPY","","","","","","","","","","","","","","3.82","","","","","OTC","12","Finance","Real Estate - Operations","","","","20180405","","","","","","","10551.31"
"Hilton Worldwide Holdings Inc.","HLT",".47",".74","9","8",".75","8","1.9","2.62","3.06","38.76","29.58","25.32","5.58",".77",".14","0","0","0","NYSE","12","Consumer Discretionary","Hotels and Motels","22.73","12","18.61","20180426","20171201",".54","0","0","0","75.95899","24502.31"
"Hellenic Telecom Organization SA","HLTOY","","","","","","","","","","25.56","","","","1.03","","","","","OTC","12","Utilities","Diversified Communication Services","","","","20180510","20170901",".09","","","","30.509","6514.09"
"H Lundbeck A/S","HLUYY",".81",".76","1","1",".79","1","2.44","3.2","3.24","23.72","17.79","17.57","3.56","1.67","","0","0","0","OTC","12","Medical","Large Cap Pharmaceuticals","9.8","64.52","","20180509","20170901",".73","0","0","0","6.9327","11330.27"
"Honda Motor Co., Ltd.","HMC",".48",".48","1","1","","","5.36","3.82","4.45","9.84","8.96","7.69","1.72","2.18","","0","0","0","NYSE","3","Auto-Tires-Trucks","Automotive - Foreign","42.31","75.51","66.73","20180427","20171201","1.11","0","-11.11","","32.698","62005.18"
"Horace Mann Educators Corporation","HMN",".59",".33","1","1",".59","1","","2.3","2.65","24.86","18.7","16.23","","2.65",".14","","0","0","NYSE","12","Finance","Insurance - Multi line","16.07","213.64","26.03","20180423","20171201",".65","0","0","0","16.534","1753.54"
"Hammerson PLC","HMSNF","","","","","","",".41",".45",".47","","17.18","16.45","","0","","","2.17","1.12","OTC","12","Finance","REIT and Equity Trust - Other","","","","20180528","","","","","","","6138.82"
"HMS Holdings Corp","HMSY",".14",".17","7","2",".19","2",".71",".65",".8","34.55","26.11","21.3","2.37","0",".08","0","0","0","NSDQ","12","Medical","Medical Info Systems","9.09","-13.64","-4.28","20180509","20171201",".24","0","0","0","28.361","1408.75"
"Harmony Gold Mining Company Limited","HMY","","","","","","",".38",".28",".41","","8.84","5.93","",".87",".01","","0","0","NYSE","6","Basic Materials","Mining - Gold","","","","20180213","","","","","","8.4587","1080.69"
"Hongkong Land Holdings Ltd.","HNGKY","","","","","","","","","","","","","","3.72","","","","","OTC","12","Finance","Real Estate - Development","","","","20180404","","","","","","","16460.22"
"HNI Corporation","HNI",".03",".61","2","2",".98","2","1.93","2.5","3.1","18.28","14.41","11.64","","3.16",".04","","0","0","NYSE","12","Business Services","Business - Office Products","6.82","1.23","5.98","20180418","20171201",".47","0","0","0","31.80599","1557.72"
"Hang Lung Group Ltd.","HNLGY","","","","","","","","","","","","","","3.04","","","","","OTC","12","Finance","Real Estate - Operations","","","","20180405","","","","","","","4289.1"
