Company Name,Ticker,% Change LT Growth Est. (4 weeks),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Div. Yield %,Net Margin,% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),Exchange,Sector,Month of Fiscal Yr End,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,Debt/Total Capital,Market Cap 
"Maximus, Inc.","MMS","0","3.13","3.43","3.74","21.45","19.85","18.24","2.27",".26",".09","0","0","NYSE","Business Services","9","Government Services","1.3","5.19","2.91","20180503","1.18169","4448.23"
"Merit Medical Systems, Inc.","MMSI","11.4","1.27","1.64","1.88","36.43","28.6","24.98","2.21","0",".04","11.34","11.54","NSDQ","Medical","12","Medical - Dental Supplies","3.13","6.67","13.92","20180426","27.69199","2362.54"
"MakeMyTrip Limited","MMYT","","-1.29","-2.15","-1.53","","","","","0","-.25",".26","4.45","NSDQ","Computer and Technology","3","Internet - Delivery Services","38.78","26.23","16.45","20180518",".03288","3277.45"
"Minebea Co.","MNBEY","","","","","16.28","","","",".61",".06","","","OTC","Computer and Technology","3","Electronics - Miscellaneous Components","","","","20180508","19.804","9767.32"
"Man Group PLC","MNGPY","0",".18",".21",".27","","11.6","9.02","1.29","3.47","","0","0","OTC","Finance","12","Financial - Investment Management","","","","20180314","8.13319","3954.47"
"Mallinckrodt PLC","MNK","0","7.21","6.22","7.03","2.17","2.62","2.31",".34","0",".66","-5.26","-10.08","NYSE","Medical","12","Medical - Generic Drugs","16.86","9.44","9.08","","49.609","1404.92"
"Monmouth Real Estate Investment Corporation","MNR","0",".77",".9",".99","18.58","16.51","15.06","2.36","4.58",".41",".68",".75","NYSE","Finance","9","REIT and Equity Trust - Other","4.76","0","2.82","20180502","48.936","1154.51"
"Monro Muffler Brake, Inc.","MNRO","0","1.85","2.07","2.69","28.73","26.23","20.15","1.91","1.33",".06","0","0","NSDQ","Consumer Discretionary","3","Conusmer Services - Miscellaneous","0","1.85",".93","20180517","38.27799","1780.77"
"Monster Beverage Corporation","MNST","0","1.48","1.78","2.04","39.75","32.83","28.61","1.77","0",".24","-3.88","-3.65","NSDQ","Consumer Staples","12","Beverages - Soft drinks","-5.41","0","-1.2","20180503","0","33094.92"
"Momenta Pharmaceuticals, Inc.","MNTA","","-1.09","-1.27","-.36","","","","","0","-.63","67.28","-5.52","NSDQ","Medical","12","Medical - Biomedical and Genetics","200","4.35","65.54","20180501","0","1437.25"
"Altria Group","MO",".23","3.28","4.01","4.41","19.4","16.4","14.9","1.91","4.01",".4",".4","1.62","NYSE","Consumer Staples","12","Tobacco","13.75","3.45","3.67","20180501","45.86399","124992.52"
"Modine Manufacturing Company","MOD","",".76","1.5","1.75","15.79","15.23","13.09","","0",".01","0","0","NYSE","Auto-Tires-Trucks","3","Automotive - Original Equipment","20.69","63.64","29.32","20180523","45.54899","1155.56"
"Moog Inc.","MOG.A","","3.77","4.32","5.14","21.89","20.22","16.99","","0",".06","0","0","NYSE","Aerospace","9","Aerospace - Defense Equipment","5.68","12.63","11.99","20180427","43.928","3124.76"
"Moog Inc.","MOG.B","","","","","22.04","","","","0",".06","","","NYSE","Aerospace","9","Aerospace - Defense Equipment","","","","20180427","43.928","3145.87"
"Molina Healthcare Inc","MOH","-37.31","-3.88","3.68","4.32","25.87","20.61","17.55","1.34","0","-.03","-8.41","4.1","NYSE","Medical","12","Medical - HMOs","47.83","391.3","123.96","20180501","53.137","4527.9"
"Momo Inc.","MOMO","","1.72","2.29","2.86","20.93","16.17","12.97","","0",".24","3.82","3.85","NSDQ","Computer and Technology","12","Internet - Software and Services","8.16","18.42","17.32","20180522","0","7355.33"
"Monsanto Company","MON","0","4.96","5.76","6.45","21.49","21.36","19.09","1.76","1.75",".15","0","0","NYSE","Basic Materials","8","Agriculture - Products","7.89","152.63","46.76","20180404","51.23099","54284.62"
"MONDI PLC UNS","MONDY","0","3.53","3.9","4.1","","14.68","13.96","2.45","2.12",".09","3.54","3.45","OTC","Basic Materials","12","Paper and Related Products","","","","","24.60099","10510.41"
"MONOTARO","MONOY","0",".59","","","","","","","0","","","","OTC","Retail-Wholesale","12","Internet - Commerce","","","","20180316","24.05599","4003.39"
"Morningstar, Inc.","MORN","","","","","35.28","","","","1.02",".15","","","NSDQ","Business Services","12","Business - Information Services","","","","20180420","18.27599","4153.77"
"The Mosaic Company","MOS","0","1.01","1.35","1.73","25.11","20.49","16","2.16",".36","-.01","12.85","18.87","NYSE","Basic Materials","12","Fertilizers","25.93","72","8.75","20180501","33.602","9695.97"
"Marathon Petroleum Corporation","MPC","0","3.81","4.91","5.17","17.72","14.12","13.39",".99","2.66",".05","-.44","-4.14","NYSE","Oils-Energy","12","Oil and Gas - Refining and Marketing","9.37","22.07","182.62","20180426","39.00999","32976.66"
"PAGEGROUP PLC","MPGPF","0",".36",".46",".55","","16.22","13.56",".85","0","","1.85","2.22","OTC","Business Services","12","Consulting Services","","","","20180314","","2438.68"
"MPLX LP","MPLX","0","1.08","1.93","2.11","33.79","18.35","16.78","3.28","6.85",".21","2.82","5.24","NYSE","Oils-Energy","12","Oil and Gas - Production and Pipelines","-8.82","7.41","15.27","20180426","44.34099","28162.25"
"Medical Properties Trust, Inc.","MPW","-37.78","1.33","1.43","1.47","9.81","9.26","9.04","2.63","7.25",".41","-1.3","-.77","NYSE","Finance","12","REIT and Equity Trust - Other","5.71","6.45","3.04","20180503","56.088","4832.21"
"Monolithic Power Systems, Inc.","MPWR","0","2.91","3.69","4.5","42.98","33.99","27.88","1.89",".64",".14","0","0","NSDQ","Computer and Technology","12","Semiconductor - Analog and Mixed","1.23","2.44","1.73","20180425","0","5288.02"
"Murata Manufacturing Inc.","MRAAY","","","","","20.85","","","",".59",".13","","","OTC","Industrial Products","3","Manufacturing - Electronics","","","","20180313",".04617","30519.4"
"MRC Global Inc.","MRC","0",".08",".69","1.1","604","26.3","16.49","1.75","0",".01","14.28","9.73","NYSE","Industrial Products","12","Steel - Pipe and Tube","-133.33","-71.43","-34.52","20180502","31.90699","1655.22"
"Mercury Systems Inc","MRCY","0","1.1","1.36","1.61","44.41","36.81","31.25","3.22","0",".06","0","0","NSDQ","Computer and Technology","6","Computer - Peripheral Equipment","-6.67","42.31","15.07","20180424","0","2420.81"
"Merck & Company, Inc.","MRK","8.27","3.95","4.17","4.29","13.91","13.29","12.9","2.28","3.47",".06",".19",".13","NYSE","Medical","12","Large Cap Pharmaceuticals","4.26","7.77","8.53","20180501","38.18399","149261.08"
"Marathon Oil Corporation","MRO","-16.53","-.32",".46",".4","","32.61","38.13","3.11","1.33","-1.2","58.29","47.11","NYSE","Oils-Energy","12","Oil and Gas - Integrated - United States","250","42.86","58.48","20180503","31.93799","12822.82"
"Marten Transport, Ltd.","MRTN","",".62",".91","1.03","31.81","25.26","22.23","",".44",".13","0","0","NSDQ","Transportation","12","Transportation - Truck","0","7.69","10.02","20180419","0","1249.56"
"Mirati Therapeutics, Inc.","MRTX","","-2.73","-2.45","-2.81","","","","","0","","-12.79","1.53","NSDQ","Medical","12","Medical - Biomedical and Genetics","-8.06","19.75","6.68","20180503","0","1011.46"
"Marvell Technology Group Ltd.","MRVL","-31.23","1.19","1.35","1.45","20.31","18.06","16.78","1.61",".98",".22",".97","1.38","NSDQ","Computer and Technology","1","Semiconductor - Communications ","3.23","3.03","6.92","20180524","0","12085.32"
"MRV Engenharia e Participacoes SA","MRVNY","","","","","10.64","","","","1.86","","","","OTC","Construction","12","Building Products - Home Builders","","","","20180313","33.40299","2172.96"
"WM MORRISON SUP","MRWSY","",".83",".9",".97","","17.41","16.25","2.32","1.94","","4.3","1.69","OTC","Retail-Wholesale","1","Food - Natural Foods Products","","","","20180315","26.92399","7425.61"
"Morgan Stanley","MS","0","3.58","4.51","4.91","16.18","13.06","12.01","1.02","1.7",".14","0","0","NYSE","Finance","12","Financial - Investment Bank","9.09","14.81","12.37","20180418","71.051","105557.65"
"MSA Safety Incorporporated","MSA","","3.31","4.22","4.68","22.74","19.74","17.77","","1.68",".02","14.23","12.54","NYSE","Industrial Products","12","Security and Safety Services","31","15","14.93","20180424","42.63399","3181.21"
"MS&AD Insurance Group Holdings Inc.","MSADY","","","","","7.85","","","","1.44",".04","","","OTC","Finance","3","Insurance - Property and Casualty","","","","20180313","12.70699","18406.08"
"Mitsubishi Corp.","MSBHY","","4.31","","","10.26","","","","2.9",".07","","","OTC","Conglomerates","3","Diversified Operations","","","","20180508","39.15999","44458.52"
"Microsemi Corporation","MSCC","0","3.84","4.33","4.77","16.73","15.45","14.04","1.16","0",".1","0","0","NSDQ","Computer and Technology","9","Semiconductor - Analog and Mixed","0",".93",".23","20180426","47.14099","7874.61"
"MSCI Inc","MSCI","0","3.83","5.41","6.17","38.71","28.49","24.98","2.85",".99",".24","0","0","NYSE","Computer and Technology","12","Business - Software Services","16.16","3.09","7.39","20180503","83.82399","13855.91"
"MainSource Financial Group, Inc.","MSFG","","2.09","2.62","","19.26","15.51","","","1.77",".23","","0","NSDQ","Finance","12","Banks - Midwest","-1.79","1.89","3.85","20180425","52.03499","1040.32"
"Microsoft Corporation","MSFT","0","3.03","3.65","3.92","27.57","26.52","24.69","2.23","1.74",".24","-.47","-.13","NSDQ","Computer and Technology","6","Computer - Software","11.63","16.67","18.03","20180426","50.2","745108.94"
"The Madison Square Garden Company","MSG","","-.7",".75",".83","","334.53","299.14","","0","-.06","0","0","NYSE","Consumer Discretionary","6","Leisure and Recreation Services","70.59","27.69","-7.09","20180503","6.5808","5883.32"
"MSG Networks Inc.","MSGN","0","2.2","3.8","2.62","11.03","6.64","9.64","1.04","0",".25","0","0","NYSE","Consumer Discretionary","6","Film and Television Production and Distribution","20.37","3.85","6.12","20180504","","1900.92"
"Motorola Solutions, Inc.","MSI","0","5.39","6.57","7.01","19.94","16.56","15.53","2.07","1.91","-.02","1.75","-.16","NYSE","Computer and Technology","12","Wireless Equipment","3.45","9.29","11.81","20180503","","17558.32"
"MSC Industrial Direct Company, Inc.","MSM","0","3.97","5.06","5.99","22.57","18.47","15.59","1.36","2.48",".08","0","0","NYSE","Industrial Products","8","Industrial Services","-.94","8.08","2.62","20180410","13.75699","5274.12"
"MicroStrategy Incorporated","MSTR","","5.06","2.18","3.32","25.43","62.42","41.05","","0",".03","-7.14","2.35","NSDQ","Computer and Technology","12","Computer - Software","12.32","52.94",".25","20180426","0","1560.18"
"ArcelorMittal","MT","0","3.98","3.69","3.75","8.67","8.78","8.65",".66","0",".07","0","0","NYSE","Basic Materials","12","Steel - Producers","12.5","37.21","39.43","20180511","19.88899","33055.48"
"M&T Bank Corporation","MTB","0","9.1","12.2","13.08","20.67","15.97","14.9","1.24","1.54",".23",".46",".27","NYSE","Finance","12","Banks - Major Regional","10.83","-6.67","4.84","20180416","33.37699","29270.98"
"Match Group, Inc.","MTCH","0",".78","1.24","1.52","60","36.89","30.03","2.32","0",".26","4.52","5.56","NSDQ","Computer and Technology","12","Internet - Services","-6.45","-13.64","-10.89","20180501","71.42199","12509.45"
"Mettler-Toledo International, Inc.","MTD","0","17.53","20.17","22.4","35.01","30.53","27.5","2.55","0",".14",".61",".28","NYSE","Computer and Technology","12","Instruments - Scientific",".51","1.4","2.78","20180503","63.69499","15688.98"
"Matador Resources Company","MTDR","-18.04",".69","1.31","1.7","41.3","22.35","17.25",".81","0",".23","-5.73","-.83","NYSE","Oils-Energy","12","Oil and Gas - Exploration and Production - United States","8.7","80","39.67","20180502","31.34199","3203.17"
"Motif Bio Plc","MTFB","","-4.53","-2.86","-1.68","","","","","0","","0","0","NSDQ","Medical","12","Medical - Biomedical and Genetics","","","","20180507","","2077.89"
"MGIC Investment Corporation","MTG","0","1.21","1.43","1.57","9.75","9.33","8.5","1.33","0",".33","-.16","-.35","NYSE","Finance","12","Insurance - Multi line","59.26","28","35.11","20180419","20.839","4954.72"
"Meritage Corporation","MTH","0","3.8","5.05","5.73","11.67","9","7.94",".67","0",".04",".01","-.02","NYSE","Construction","12","Building Products - Home Builders","7.2","9.68","20.22","20180426","44.87799","1835.05"
"Mitsubishi Chemical Holdings Corp.","MTLHY","","4.65","6.54","6.48","","7.72","7.79","",".95",".05","0","0","OTC","Basic Materials","3","Chemical - Diversified ","","","","","37.22299","15210.52"
"Vail Resorts, Inc.","MTN","","4.85","8.54","7.32","40.4","26.15","30.51","","1.89",".11","-.85","23.85","NYSE","Consumer Discretionary","7","Leisure and Recreation Services","16.06","-9.29","6.95","20180614","38.59899","9027.73"
"MTN Group Ltd.","MTNOY","","","","","","","","","3.5","","","","OTC","Computer and Technology","12","Wireless Non-US ","","","","20180315","39.41299","21329.94"
"Meritor, Inc.","MTOR","","1.72","2.69","2.95","9.93","8.22","7.5","","0",".1","0","0","NYSE","Auto-Tires-Trucks","9","Automotive - Original Equipment","34.78","31.91","27.34","20180502","74.11399","1974.55"
"Materion Corporation","MTRN","","1.6","2.08","2.4","30.96","25.64","22.19","",".75",".01","6.67","4.01","NYSE","Basic Materials","12","Mining - Miscellaneous","34.21","31.58","18.59","20180427",".56648","1071.18"
"MACOM Technology Solutions Holdings, Inc.","MTSI","0","2.33",".6","1.35","12.74","39.5","17.57","2.12","0","-.24","-1.8","-1.64","NSDQ","Computer and Technology","9","Semiconductor - Analog and Mixed","-23.08","0","-5.68","20180424","46.962","1526.41"
"CECONOMY AG","MTTRY","","","","","","","","","1.73",".05","","","OTC","Consumer Discretionary","9","Consumer Products - Discretionary","","","","20180530","","3889.32"
"Mitsubishi UFJ Financial Group, Inc.","MTU","0",".55",".68",".72","10","10.15","9.58","1.29","2.18",".04","0","0","NYSE","Finance","3","Banks - Foreign","","","","20180521","42.754","91699.51"
"MTU Aero Engines AG","MTUAY","","","","","18.47","","","",".83",".08","","","OTC","Aerospace","12","Aerospace - Defense","","","","20180427","35.471","8931.52"
"The Manitowoc Company, Inc.","MTW","","-.17",".51","1.34","","58.29","22.28","","0",".01","1.61","-15.67","NYSE","Industrial Products","12","Manufacturing - Construction and Mining","-150","325","110.42","20180514","28.246","1053.34"
"Minerals Technologies Inc.","MTX","","4.57","4.93","5.5","16.1","15.01","13.44","",".27",".12",".46","-.51","NYSE","Basic Materials","12","Chemical - Specialty",".92","1.71","1.18","20180503","42.86899","2618.61"
"MasTec, Inc.","MTZ","0","2.81","3.49","4.01","17.8","14.85","12.93","1.06","0",".05","14.59","7.46","NYSE","Construction","12","Building Products - Heavy Construction","27.03","10.81","27.4","20180503","47.18799","4290.33"
"Micron Technology, Inc.","MU","0","4.64","10.57","8.86","8.49","5.62","6.7",".56","0",".25","2.15","4.27","NSDQ","Computer and Technology","8","Semiconductor Memory","11.36","9.78","10.24","20180322","24.672","68650.42"
"iShares National Muni Bond ETF","MUB","","","","","","","","","2.3","","","","NYSE","Finance","12","Financial - Investment Funds","","","","","","9048.03"
"Mulesoft Inc.","MULE","780.62","-.41","-.28","-.16","","","","","0","-.27","37.82","27.97","NYSE","Computer and Technology","12","Internet - Software","0","-8.33","15.05","20180503","0","4432.87"
"Murphy Oil Corporation","MUR","","-.2",".85",".91","","29.86","28.09","","3.92","-.14","12.65",".84","NYSE","Oils-Energy","12","Oil and Gas - Exploration and Production - United States","300","78.57","96.31","20180502","38.616","4402.33"
"M?nchener R?ckversicherungs-Gesellschaft","MURGY","","","","","163","","","","5.52","","","","OTC","Finance","12","Insurance - Multi line","","","","20180321","9.97789","36752.5"
"Murphy USA Inc.","MUSA","0","4.34","5.01","5.33","17.26","15.03","14.11","1.8","0",".02",".7","0","NYSE","Oils-Energy","12","Oil and Gas - Refining and Marketing","-8.85","41.79","20.65","20180507","53.82899","2548.87"
"MUELLER WATER PRODUCTS","MWA","21.87",".44",".54",".66","24.76","20.92","17.38","1.37","1.76",".15","0","0","NYSE","Industrial Products","9","Steel - Pipe and Tube","0","0","0","20180426","47.026","1808.21"
"Mexichem SAB de CV","MXCHY","","","","","","","","","1.97","","","","OTC","Basic Materials","12","Chemical - Specialty","","","","20180313","36.88899","6510"
"Metso Corp.","MXCYY","-14.4",".19",".39",".44","32.64","20.92","18.76",".99","2.15",".04","14.47","8.33","OTC","Industrial Products","12","Manufacturing - General Industrial ","","","","20180424","29.42099","4907.36"
"Maxim Integrated Products, Inc.","MXIM","0","2.11","2.64","2.89","26.02","24.03","21.99","2.34","2.65",".25","0","0","NSDQ","Computer and Technology","6","Semiconductor - Analog and Mixed","1.56","9.09","4.99","20180419","33.27899","13854.41"
"MaxLinear, Inc","MXL","","1.45","1.66","1.95","17.72","15.51","13.2","","0","-.02","-7.3","-8.3","NYSE","Computer and Technology","12","Semiconductor - Analog and Mixed","2.7","18.18","10.06","20180508","47.291","1731.74"
"Myriad Genetics, Inc.","MYGN","0","1.02","1.14","1.32","28.97","28.88","25.11","2.35","0",".03","1.35",".29","NSDQ","Medical","6","Medical - Biomedical and Genetics","29.17","23.81","20.22","20180501","4.51219","2306.46"
"Mylan N.V.","MYL","-15.48","4.54","5.38","5.85","9.38","7.96","7.31","1.36","0",".06","3.27",".71","NSDQ","Medical","12","Medical - Generic Drugs","1.42","-9.84","-3.53","20180509","51.44699","22022.36"
"MyoKardia, Inc.","MYOK","","-1.62","-1.69","-2.82","","","","","0","-2.04","20.78","6.25","NSDQ","Medical","12","Medical - Biomedical and Genetics","47.5","-2.44","6.29","20180508","0","1832.11"
"Myovant Sciences Ltd.","MYOV","","-1.48","-2.07","-1.58","","","","","0","","-28.57","-19.31","NYSE","Medical","3","Medical - Biomedical and Genetics","-66.67","-31.58","","20180613","25.795","1031.94"
"MONEYSUPERMARKT","MYSRF","0",".21",".24",".25","","17.92","17.2","1.38","0","","0","0","OTC","Finance","12","Financial - Miscellaneous Services","","","","","","2305.62"
"Magyar Telekom Tavkozlesi Nyrt","MYTAY","","","","","9.41","","","","4.83","","","","OTC","Utilities","12","Wireline Non-US","","","","20180314","30.06999","1806.03"
"Mazda Motor Corporation","MZDAY","-23.02",".76",".82",".77","7.56","7.93","8.44",".82",".67",".03","-8.33","0","OTC","Auto-Tires-Trucks","3","Automotive - Foreign","107.14","","","20180315","20.371","7771.65"
"Mazor Robotics Ltd.","MZOR","","-.72",".06",".76","","1247","98.45","","0","-.19","137.5","112","NSDQ","Medical","12","Medical - Instruments","55.88","36","13.33","20180509","0","1909.56"
"National Australia Bank Ltd.","NABZY","9.41",".98",".88",".96","","13.64","12.5","2.61","6.1",".16","-2.04","-1.12","OTC","Finance","9","Banks - Foreign","","","","","71.86199","64220.86"
"National Instruments Corporation","NATI","",".93","1.19","1.48","57.08","44.6","35.87","","1.73",".04","0","0","NSDQ","Computer and Technology","12","Electronics - Testing Equipment","2.94","8.7","4.83","20180426","0","6964.35"
"Navistar International Corporation","NAV","0","-.48","1.9","3.15","42.16","18.42","11.11","3.68","0","0","5","1.85","NYSE","Auto-Tires-Trucks","10","Automotive - Original Equipment","41.46","120","-154.73","20180606","","3444.74"
"The Navigators Group, Inc.","NAVG","",".85","2.8","2.95","50.74","20.84","19.78","",".48",".03","9.67","8.11","NSDQ","Finance","12","Insurance - Property and Casualty","62","-58.73",".52","20180503","17.71199","1723.16"
"Navient Corporation","NAVI","0","1.76","1.91","1.92","7.6","7.04","7.01","1.17","4.75",".06","0","0","NSDQ","Finance","12","Financial - Consumer Loans","2.38","10",".24","20180417","96.788","3545.21"
"National Bank of Greece SA","NBGGY","","","","","","","","","0","","","","OTC","Finance","12","Banks - Foreign","","","","20180329","57.02799","2818.24"
"National Bank Holdings Corporation","NBHC","0","1.21","1.89","2.24","27.04","17.92","15.06","1.79","1.07",".07","0","0","NYSE","Finance","12","Banks - Southeast","9.09","-13.33","9.66","20180419","19.517","1024.55"
"Nobel Biocare Holding AG","NBHGF","","","","","","","","","0","","","","OTC","Medical","12","Medical - Dental Supplies","","","","","","2258.99"
"Neurocrine Biosciences, Inc.","NBIX","0","-1.48","-.22","1.78","","","51.01","","0","-.88","-16.66","-147.94","NSDQ","Medical","12","Medical - Drugs","-68.18","73.47","-7.63","20180508","49.83","8087.29"
"Noble Energy Inc.","NBL","",".03",".86","1.38","102.93","35.91","22.36","","1.3","-.26","64.11","68.9","NYSE","Oils-Energy","12","Oil and Gas - Exploration and Production - United States","700","84.62","246.15","20180507","38.84799","15198.89"
"Noble Midstream Partners LP","NBLX","","4.06","4.7","5.59","12.27","10.6","8.92","","3.92",".59","-3.68","-4.62","NYSE","Oils-Energy","12","Oil and Gas - Exploration and Production - United States","-.85","9.52","13.15","20180507","12.51299","1975.86"
"Nabors Industries Ltd.","NBR","","-1.62","-.79","-.13","","","","","3.31","-.21","44.93","2.97","NYSE","Oils-Energy","12","Oil and Gas - Drilling","-3.03","-27.27","-20.75","20180425","57.816","2284.5"
"NBT Bancorp Inc.","NBTB","","1.99","2.44","2.55","18.98","15.32","14.66","","2.46",".19","6.03","6.09","NSDQ","Finance","12","Banks - Northeast","-5.66","4","-.42","20180423","16.552","1629.94"
"Norwegian Cruise Line Holdings Ltd.","NCLH","-8.81","3.91","4.61","5.16","14.29","12.27","10.97",".52","0",".14","1.1",".44","NYSE","Consumer Discretionary","12","Leisure and Recreation Services","7.94","2.2","5.85","20180509","49.73199","12862"
"Newcrest Mining Ltd.","NCMGY","","","","","","","","",".67",".09","","","OTC","Basic Materials","6","Mining - Gold","","","","","20.90299","12457.85"
"NCR Corporation","NCR","0","3.15","3.34","3.64","11.12","10.7","9.8","2.68","0",".04","0","0","NYSE","Computer and Technology","12","Computer - Integrated Systems","6.98","3.33","9.68","20180419","65.84899","4226.88"
"NCI Building Systems, Inc.","NCS","0",".77","1.23","1.64","19.94","14.39","10.82","1.44","0",".03","17.99","12.81","NYSE","Construction","10","Building Products - Miscellaneous","55.56","18.52","23.63","20180605","59.276","1174.04"
"NABTESCO CP TKY","NCTKF","0","1.78","","","25.75","","","","0","","","","OTC","Transportation","12","Transportation - Equipment and Leasing","","","","20180316","","5349.48"
"Nasdaq, Inc.","NDAQ","0","4.19","4.82","5.3","20.31","17.83","16.21","1.84","1.77",".19","0",".38","NSDQ","Finance","12","Securities and Exchanges","3.96","3.92","4.72","20180425","38.76599","14305.89"
"Nitto Denko Corp.","NDEKY","0","1.7","2.84","3.36","16.3","14.35","12.13","1.91",".67",".08","1.51",".35","OTC","Computer and Technology","3","Semiconductor - Communications ","","","","20180313",".42947","14164.79"
"NINE DRAGONS","NDGPY","","2.85","","","","","","","2.42",".11","","","OTC","Industrial Products","6","Containers - Paper and Packaging","","","","","35.87799","8098.79"
"Nordson Corporation","NDSN","-9.42","5.32","6.34","7.07","23.84","22.05","19.77","1.65",".86",".14","2.95",".8","NSDQ","Industrial Products","10","Manufacturing - General Industrial ","0","4.55","3.91","20180528","49.29","8098.2"
"New World Development Co.","NDVLY","","","","","","","","","2.25",".14","","","OTC","Finance","6","Real Estate - Development","","","","","","15837.69"
"Noble Corporation","NE","","-1.15","-1.82","-1.87","","","","","0","-.42","-15.3","-19.65","NYSE","Oils-Energy","12","Oil and Gas - Drilling","9.38","0","6.49","20180503","38.94599","1068.54"
"NextEra Energy, Inc.","NEE","0","6.73","7.73","8.3","23.01","19.98","18.61","2.54","2.88",".31","1.01",".58","NYSE","Utilities","12","Utility - Electric Power","-4.58","5.71","4.75","20180420","51.61199","72685.88"
"Newmont Mining Corporation","NEM","","1.5","1.42","1.54","26.01","26.65","24.64","","1.47","-.01","-3.8","5.67","NYSE","Basic Materials","12","Mining - Gold","0","12.9","21.47","20180423","25.881","20261.37"
"Neogen Corporation","NEOG","0",".85","1.08","1.17","51.45","58.81","53.85","3.92","0",".12","0","0","NSDQ","Medical","5","Medical - Products","26.92","3.33","7.56","20180322","0","3260.35"
"NextEra Energy Partners, LP","NEP","0",".91","1.97","2.4","58.73","19.65","16.16","1.75","4.18","-.08","0","0","NYSE","Oils-Energy","12","Alternative Energy - Other","-26.92","-97.3","-53.69","20180420","65.63999","2102.77"
"NewMarket Corporation","NEU","","","","","22.93","","","","1.63",".09","","","NYSE","Basic Materials","12","Chemical - Specialty","-.26","17.88","8.85","20180425","50.05199","5068.92"
"New Relic, Inc.","NEWR","","-.53","-.05",".23","","","324.7","","0","-.23",".37","47.4","NYSE","Computer and Technology","3","Internet - Software","162.5","40","64.99","20180508","0","4095.45"
"Nexa Resources S.A.","NEXA","","1.34","2.25","2.14","13.7","8.84","9.28","","0",".05","0","0","NYSE","Basic Materials","12","Mining - Miscellaneous","-52.5","","","20180517","32.59199","2240.63"
"National Fuel Gas Company","NFG","0","3.3","3.32","3.66","15.22","15.06","13.62","4.86","3.32",".18","0","0","NYSE","Utilities","9","Utility - Gas Distribution","24.39","0","6.34","20180503","52.846","4284.08"
"Netflix, Inc.","NFLX","0","1.25","2.73","4.25","257.04","117.59","75.61","4.41","0",".05","1.72","1.75","NSDQ","Consumer Discretionary","12","Broadcast Radio and Television","0","-9.38","-2.59","20180416","64.47","139427.63"
"Newfield Exploration Company","NFX","-20.19","2.12","2.94","3.69","10.45","7.91","6.31",".6","0",".24","-2.48","-1","NYSE","Oils-Energy","12","Oil and Gas - Exploration and Production - United States","18.33","20.93","15.91","20180501","63.352","4653.53"
"Novagold Resources Inc.","NG","","-.13","-.07","-.06","","","","","0","","0","0","AMEX","Basic Materials","11","Mining - Gold","25","0","","20180402","24.07099","1289.18"
"New Gold Inc.","NGD","0",".07",".15",".17","40.67","16.45","14.64","3.29","0","-.18","-15.83","-4.3","AMEX","Basic Materials","12","Mining - Gold","-50","0","-12.5","20180425","32.019","1411.87"
"National Grid Transco, PLC","NGG","0","4.42","4.17","4.47","","13.18","12.29","3.71","3.41",".55","0","0","NYSE","Utilities","3","Utility - Electric Power","","","","","56.868","37124.88"
"National General Holdings Corp","NGHC","",".93","2.19","2.55","24.19","11.14","9.58","",".65",".02","3.38","3.79","NSDQ","Finance","12","Insurance - Property and Casualty","33.33","84.62","11.54","20180514","0","2606.83"
"NGL Energy Partners LP","NGL","",".97","-1.19","-.3","","","","","12.84",".01","-790","3.66","NYSE","Oils-Energy","3","Oil and Gas - Refining and Marketing - Master Limited Partnerships","68.42","-130.77","-15.51","20180524","60.24","1471.17"
"ANGLO AMER ADR","NGLOY","","1.25","1.28","1.19","","9.54","10.26","","1.84",".11","13.33","8.47","OTC","Basic Materials","12","Mining - Miscellaneous","","","","","29.457","34286.68"
"Ingevity Corporation","NGVT","0","2.49","3.51","4.33","30.74","22.62","18.3","1.88","0",".13","26.5","20.98","NYSE","Basic Materials","12","Chemical - Specialty","25","14.67","13.3","20180502","61.504","3336.56"
"National Health Investors, Inc.","NHI","-12.19","5.26","5.49","5.65","12.95","12.49","12.14","3.54","5.54",".57",".37",".25","NYSE","Finance","12","REIT and Equity Trust - Other","2.26","2.24","1.51","20180508","46.421","2849.94"
"Nihon Kohden Corporation","NHNKY","",".55","","","27.21","","","",".41",".05","","","OTC","Medical","3","Medical - Instruments","","","","20180314","0","2539.39"
"Norsk Hydro ASA","NHYDY","-9.44",".44",".67","","13.3","10","",".53","1.67",".08","",".76","OTC","Industrial Products","12","Metal Products - Procurement and Fabrication","30.77","-8.33","","20180427","3.3821","13599.25"
"NiSource, Inc","NI","-16.6","1.19","1.29","1.36","20.12","17.96","16.99","3.27","3.37",".03","-.95",".56","NYSE","Utilities","12","Utility - Electric Power","3.13","0",".78","20180502","63.48899","7807.69"
"Nice Ltd.","NICE","25","4.06","4.6","4.98","23.62","21","19.41","1.68","0",".11","-.45","2.11","NSDQ","Computer and Technology","12","Internet - Software","2.27","2.15","2.84","20180503","20.37299","5800.17"
"JSC MMC Norilsk Nickel","NILSY","","","","","","","","","4.6",".23","","","OTC","Basic Materials","12","Mining - Miscellaneous","","","","20180321","63.875","30897.44"
