Company Name,Ticker,% Change LT Growth Est. (4 weeks),F0 Consensus Est.,F1 Consensus Est.,F2 Consensus Est.,P/E (Trailing 12 Months),P/E (F1),P/E (F2),PEG Ratio,Div. Yield %,Net Margin,% Change F2 Est. (4 weeks),% Change F1 Est. (4 weeks),Exchange,Sector,Month of Fiscal Yr End,Industry,Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Next EPS Report Date ,Debt/Total Capital,Market Cap 
"CoStar Group, Inc.","CSGP","0","4.6","7.01","9.45","78.64","51.27","38.01","3.06","0",".13","21.47","9.46","NSDQ","Computer and Technology","12","Computers - IT Services","-.79","23.68","18.32","20180425","0","12972.08"
"CSG Systems International, Inc.","CSGS","","2.53","2.73","3.01","18.82","17.23","15.63","","1.68",".08","0","0","NSDQ","Computer and Technology","12","Computer - Services","-6.06","0","-.25","20180502","47.43","1573.33"
"Casio Computer Co.","CSIOY","","","","","17.28","","","","1.01",".06","","","OTC","Computer and Technology","3","Electronics - Miscellaneous Products","","","","20180509","25.94","3988.91"
"iShares 1-3 Year Credit Bond ETF","CSJ","","","","","","","","","1.7","","","","NSDQ","Finance","12","Financial - Investment Funds","","","","","","10836.65"
"Carlisle Companies Incorporated","CSL","0","4.89","6.05","6.9","20.57","17.85","15.65","1.12","1.37",".09","-1.28","-1.68","NYSE","Conglomerates","12","Diversified Operations","18.18","3.79","7.43","20180426","38.55099","6671.37"
"CSL LTD-ADR","CSLLY","","","","","","","","","0","","","","OTC","Medical","6","Medical - Biomedical and Genetics","","","","","","29759.4"
"Cornerstone OnDemand, Inc.","CSOD","0",".41",".67","1.1","108.52","67.58","41.44","3.98","0","-.13","-3.93","-10.07","NSDQ","Computer and Technology","12","Computer - Software","-5","30","216.25","20180501","92.801","2612.6"
"CSRA Inc.","CSRA","0","2.01","2.04","2.33","20.4","19.87","17.45","2.09",".99",".06","3.1",".91","NYSE","Computer and Technology","3","Computers - IT Services","19.15","-2.13","7.55","20180523","81.46399","6655.4"
"Constellium N.V.","CSTM","",".61","1.1","1.37","","10.84","8.69","","0","-.01","-1.97",".5","NYSE","Industrial Products","12","Metal Products - Procurement and Fabrication","-870","33.33","-206.39","20180426","","1256.43"
"China Shenhua Energy Co.","CSUAY","","1.35","1.52","1.14","8.6","7.47","9.96","-.93","1.7","","","157.63","OTC","Oils-Energy","12","Coal","","","","20180319","16.81999","56436.8"
